#E_pot  E_kin  T  P
-8.239162e+02 1.254613e+02 5.029842e+01 1.111111e+06
-8.239116e+02 1.261600e+02 5.057854e+01 1.117299e+06
-8.238979e+02 1.252412e+02 5.021017e+01 1.109162e+06
-8.238751e+02 1.255052e+02 5.031601e+01 1.111500e+06
-8.238432e+02 1.262610e+02 5.061903e+01 1.118194e+06
-8.238023e+02 1.258337e+02 5.044772e+01 1.114409e+06
-8.237525e+02 1.255486e+02 5.033341e+01 1.111884e+06
-8.236938e+02 1.256065e+02 5.035663e+01 1.112397e+06
-8.236263e+02 1.260526e+02 5.053550e+01 1.116349e+06
-8.235497e+02 1.265371e+02 5.072973e+01 1.120639e+06
-8.234642e+02 1.266003e+02 5.075507e+01 1.121199e+06
-8.233696e+02 1.272751e+02 5.102558e+01 1.127175e+06
-8.232659e+02 1.267468e+02 5.081380e+01 1.122496e+06
-8.231530e+02 1.279426e+02 5.129321e+01 1.133087e+06
-8.230306e+02 1.278593e+02 5.125981e+01 1.132349e+06
-8.228989e+02 1.278400e+02 5.125208e+01 1.132178e+06
-8.227583e+02 1.275166e+02 5.112240e+01 1.129313e+06
-8.226086e+02 1.270692e+02 5.094306e+01 1.125352e+06
-8.224502e+02 1.265883e+02 5.075024e+01 1.121092e+06
-8.222833e+02 1.264658e+02 5.070112e+01 1.120007e+06
-8.221078e+02 1.267645e+02 5.082088e+01 1.122653e+06
-8.219239e+02 1.259352e+02 5.048842e+01 1.115308e+06
-8.217320e+02 1.248132e+02 5.003858e+01 1.105371e+06
-8.215327e+02 1.238973e+02 4.967140e+01 1.097260e+06
-8.213260e+02 1.232843e+02 4.942563e+01 1.091831e+06
-8.211106e+02 1.234517e+02 4.949275e+01 1.093314e+06
-8.208862e+02 1.227530e+02 4.921263e+01 1.087126e+06
-8.206541e+02 1.221022e+02 4.895173e+01 1.081363e+06
-8.204149e+02 1.214273e+02 4.868116e+01 1.075386e+06
-8.201684e+02 1.209549e+02 4.849175e+01 1.071201e+06
-8.199145e+02 1.206252e+02 4.835958e+01 1.068282e+06
-8.196530e+02 1.201474e+02 4.816804e+01 1.064051e+06
-8.193843e+02 1.191949e+02 4.778617e+01 1.055615e+06
-8.191095e+02 1.193830e+02 4.786159e+01 1.057281e+06
-8.188272e+02 1.187784e+02 4.761917e+01 1.051926e+06
-8.185364e+02 1.189575e+02 4.769100e+01 1.053512e+06
-8.182376e+02 1.188163e+02 4.763437e+01 1.052262e+06
-8.179311e+02 1.186580e+02 4.757092e+01 1.050860e+06
-8.176164e+02 1.191526e+02 4.776919e+01 1.055240e+06
-8.172931e+02 1.190537e+02 4.772954e+01 1.054364e+06
-8.169617e+02 1.186917e+02 4.758442e+01 1.051158e+06
-8.166226e+02 1.184648e+02 4.749347e+01 1.049149e+06
-8.162765e+02 1.191515e+02 4.776879e+01 1.055231e+06
-8.159232e+02 1.188894e+02 4.766370e+01 1.052909e+06
-8.155624e+02 1.196103e+02 4.795273e+01 1.059294e+06
-8.151946e+02 1.192337e+02 4.780171e+01 1.055958e+06
-8.148203e+02 1.193128e+02 4.783345e+01 1.056659e+06
-8.144394e+02 1.179904e+02 4.730330e+01 1.044948e+06
-8.140526e+02 1.178418e+02 4.724371e+01 1.043632e+06
-8.136591e+02 1.172195e+02 4.699420e+01 1.038120e+06
-8.132597e+02 1.164374e+02 4.668067e+01 1.031194e+06
-8.128532e+02 1.168557e+02 4.684837e+01 1.034898e+06
-8.124383e+02 1.172281e+02 4.699766e+01 1.038196e+06
-8.120164e+02 1.173944e+02 4.706432e+01 1.039669e+06
-8.115883e+02 1.166899e+02 4.678189e+01 1.033430e+06
-8.111539e+02 1.167392e+02 4.680166e+01 1.033867e+06
-8.107148e+02 1.157224e+02 4.639400e+01 1.024861e+06
-8.102717e+02 1.151125e+02 4.614951e+01 1.019460e+06
-8.098227e+02 1.151785e+02 4.617598e+01 1.020045e+06
-8.093669e+02 1.152507e+02 4.620493e+01 1.020685e+06
-8.089054e+02 1.145203e+02 4.591209e+01 1.014216e+06
-8.084406e+02 1.133470e+02 4.544172e+01 1.003825e+06
-8.079743e+02 1.126495e+02 4.516207e+01 9.976474e+05
-8.075055e+02 1.113542e+02 4.464278e+01 9.861762e+05
-8.070331e+02 1.107107e+02 4.438477e+01 9.804767e+05
-8.065558e+02 1.106796e+02 4.437233e+01 9.802017e+05
-8.060734e+02 1.102875e+02 4.421514e+01 9.767295e+05
-8.055861e+02 1.096790e+02 4.397118e+01 9.713403e+05
-8.050943e+02 1.095122e+02 4.390431e+01 9.698631e+05
-8.045989e+02 1.091005e+02 4.373927e+01 9.662172e+05
-8.040993e+02 1.082679e+02 4.340547e+01 9.588434e+05
-8.035954e+02 1.077447e+02 4.319569e+01 9.542093e+05
-8.030870e+02 1.072373e+02 4.299227e+01 9.497157e+05
-8.025746e+02 1.066401e+02 4.275284e+01 9.444267e+05
-8.020581e+02 1.060028e+02 4.249734e+01 9.387826e+05
-8.015380e+02 1.058513e+02 4.243661e+01 9.374410e+05
-8.010147e+02 1.056015e+02 4.233646e+01 9.352286e+05
-8.004877e+02 1.048855e+02 4.204942e+01 9.288879e+05
-7.999587e+02 1.040540e+02 4.171606e+01 9.215237e+05
-7.994283e+02 1.040130e+02 4.169964e+01 9.211610e+05
-7.988961e+02 1.029359e+02 4.126783e+01 9.116222e+05
-7.983642e+02 1.021759e+02 4.096311e+01 9.048908e+05
-7.978321e+02 1.019460e+02 4.087095e+01 9.028550e+05
-7.972979e+02 1.012506e+02 4.059216e+01 8.966963e+05
-7.967615e+02 1.006715e+02 4.036001e+01 8.915682e+05
-7.962245e+02 9.987609e+01 4.004111e+01 8.845235e+05
-7.956874e+02 9.954540e+01 3.990853e+01 8.815948e+05
-7.951515e+02 9.901281e+01 3.969501e+01 8.768781e+05
-7.946179e+02 9.856157e+01 3.951411e+01 8.728818e+05
-7.940852e+02 9.828431e+01 3.940295e+01 8.704263e+05
-7.935534e+02 9.765742e+01 3.915162e+01 8.648744e+05
-7.930221e+02 9.648037e+01 3.867974e+01 8.544503e+05
-7.924896e+02 9.642982e+01 3.865947e+01 8.540025e+05
-7.919564e+02 9.669671e+01 3.876647e+01 8.563663e+05
-7.914243e+02 9.563582e+01 3.834115e+01 8.469707e+05
-7.908921e+02 9.452472e+01 3.789570e+01 8.371306e+05
-7.903578e+02 9.473960e+01 3.798185e+01 8.390336e+05
-7.898214e+02 9.443417e+01 3.785940e+01 8.363287e+05
-7.892861e+02 9.349307e+01 3.748211e+01 8.279941e+05
-7.887525e+02 9.276093e+01 3.718858e+01 8.215101e+05
-7.882200e+02 9.226519e+01 3.698984e+01 8.171198e+05
-7.876906e+02 9.141260e+01 3.664803e+01 8.095690e+05
-7.871635e+02 9.097285e+01 3.647173e+01 8.056745e+05
-7.866362e+02 9.021096e+01 3.616628e+01 7.989271e+05
-7.861106e+02 9.021110e+01 3.616634e+01 7.989283e+05
-7.855881e+02 8.983971e+01 3.601745e+01 7.956392e+05
-7.850668e+02 8.926224e+01 3.578593e+01 7.905250e+05
-7.845471e+02 8.833694e+01 3.541497e+01 7.823304e+05
-7.840305e+02 8.772893e+01 3.517122e+01 7.769457e+05
-7.835157e+02 8.689583e+01 3.483722e+01 7.695676e+05
-7.830018e+02 8.605472e+01 3.450001e+01 7.621185e+05
-7.824888e+02 8.661345e+01 3.472401e+01 7.670668e+05
-7.819781e+02 8.587458e+01 3.442779e+01 7.605232e+05
-7.814729e+02 8.495432e+01 3.405885e+01 7.523731e+05
-7.809735e+02 8.434262e+01 3.381362e+01 7.469558e+05
-7.804768e+02 8.381541e+01 3.360226e+01 7.422867e+05
-7.799834e+02 8.356327e+01 3.350117e+01 7.400537e+05
-7.794931e+02 8.298825e+01 3.327064e+01 7.349612e+05
