#E_pot  E_kin  T  P
-2.041546e+02 1.162541e+02 4.660717e+01 1.029570e+06
-2.041538e+02 1.159935e+02 4.650270e+01 1.027262e+06
-2.041512e+02 1.162706e+02 4.661381e+01 1.029717e+06
-2.041468e+02 1.158473e+02 4.644409e+01 1.025968e+06
-2.041409e+02 1.166726e+02 4.677498e+01 1.033277e+06
-2.041332e+02 1.166767e+02 4.677660e+01 1.033313e+06
-2.041237e+02 1.166478e+02 4.676502e+01 1.033057e+06
-2.041126e+02 1.169726e+02 4.689525e+01 1.035934e+06
-2.040997e+02 1.167515e+02 4.680661e+01 1.033976e+06
-2.040851e+02 1.170905e+02 4.694250e+01 1.036978e+06
-2.040688e+02 1.162398e+02 4.660146e+01 1.029444e+06
-2.040507e+02 1.159214e+02 4.647379e+01 1.026624e+06
-2.040308e+02 1.149902e+02 4.610048e+01 1.018377e+06
-2.040089e+02 1.149927e+02 4.610146e+01 1.018399e+06
-2.039853e+02 1.154758e+02 4.629517e+01 1.022678e+06
-2.039603e+02 1.150692e+02 4.613214e+01 1.019077e+06
-2.039339e+02 1.145679e+02 4.593117e+01 1.014637e+06
-2.039058e+02 1.145418e+02 4.592071e+01 1.014406e+06
-2.038762e+02 1.146381e+02 4.595931e+01 1.015259e+06
-2.038448e+02 1.135260e+02 4.551348e+01 1.005410e+06
-2.038118e+02 1.135235e+02 4.551246e+01 1.005388e+06
-2.037772e+02 1.132782e+02 4.541412e+01 1.003215e+06
-2.037410e+02 1.133687e+02 4.545041e+01 1.004017e+06
-2.037033e+02 1.131853e+02 4.537687e+01 1.002392e+06
-2.036641e+02 1.132092e+02 4.538647e+01 1.002605e+06
-2.036234e+02 1.128034e+02 4.522376e+01 9.990101e+05
-2.035811e+02 1.129601e+02 4.528659e+01 1.000398e+06
-2.035375e+02 1.126224e+02 4.515119e+01 9.974072e+05
-2.034925e+02 1.125693e+02 4.512992e+01 9.969373e+05
-2.034458e+02 1.133250e+02 4.543287e+01 1.003629e+06
-2.033976e+02 1.132937e+02 4.542035e+01 1.003353e+06
-2.033482e+02 1.128672e+02 4.524934e+01 9.995754e+05
-2.032974e+02 1.134323e+02 4.547591e+01 1.004580e+06
-2.032449e+02 1.131993e+02 4.538248e+01 1.002516e+06
-2.031909e+02 1.129639e+02 4.528811e+01 1.000432e+06
-2.031353e+02 1.131933e+02 4.538010e+01 1.002464e+06
-2.030781e+02 1.132551e+02 4.540488e+01 1.003011e+06
-2.030192e+02 1.131533e+02 4.536404e+01 1.002109e+06
-2.029587e+02 1.132958e+02 4.542119e+01 1.003372e+06
-2.028968e+02 1.129734e+02 4.529192e+01 1.000516e+06
-2.028336e+02 1.125313e+02 4.511468e+01 9.966006e+05
-2.027686e+02 1.135151e+02 4.550910e+01 1.005314e+06
-2.027023e+02 1.132254e+02 4.539295e+01 1.002748e+06
-2.026346e+02 1.130544e+02 4.532438e+01 1.001233e+06
-2.025652e+02 1.130531e+02 4.532386e+01 1.001222e+06
-2.024944e+02 1.128538e+02 4.524398e+01 9.994568e+05
-2.024221e+02 1.127371e+02 4.519718e+01 9.984230e+05
-2.023480e+02 1.131410e+02 4.535911e+01 1.002000e+06
-2.022727e+02 1.130348e+02 4.531655e+01 1.001060e+06
-2.021962e+02 1.131225e+02 4.535171e+01 1.001837e+06
-2.021181e+02 1.133069e+02 4.542561e+01 1.003469e+06
-2.020383e+02 1.129502e+02 4.528261e+01 1.000310e+06
-2.019574e+02 1.133866e+02 4.545756e+01 1.004175e+06
-2.018751e+02 1.137820e+02 4.561611e+01 1.007677e+06
-2.017912e+02 1.140597e+02 4.572745e+01 1.010137e+06
-2.017055e+02 1.146067e+02 4.594673e+01 1.014981e+06
-2.016183e+02 1.147687e+02 4.601165e+01 1.016415e+06
-2.015295e+02 1.145481e+02 4.592323e+01 1.014462e+06
-2.014393e+02 1.148312e+02 4.603672e+01 1.016969e+06
-2.013478e+02 1.137544e+02 4.560504e+01 1.007433e+06
-2.012551e+02 1.138344e+02 4.563709e+01 1.008141e+06
-2.011608e+02 1.142015e+02 4.578426e+01 1.011392e+06
-2.010649e+02 1.136246e+02 4.555300e+01 1.006283e+06
-2.009681e+02 1.132325e+02 4.539578e+01 1.002810e+06
-2.008703e+02 1.131186e+02 4.535012e+01 1.001802e+06
-2.007719e+02 1.131157e+02 4.534897e+01 1.001776e+06
-2.006725e+02 1.133011e+02 4.542329e+01 1.003418e+06
-2.005720e+02 1.131327e+02 4.535579e+01 1.001927e+06
-2.004700e+02 1.129988e+02 4.530212e+01 1.000741e+06
-2.003663e+02 1.134935e+02 4.550045e+01 1.005122e+06
-2.002606e+02 1.140648e+02 4.572949e+01 1.010182e+06
-2.001527e+02 1.146410e+02 4.596048e+01 1.015285e+06
-2.000430e+02 1.144972e+02 4.590282e+01 1.014011e+06
-1.999320e+02 1.149334e+02 4.607771e+01 1.017874e+06
-1.998199e+02 1.149637e+02 4.608985e+01 1.018143e+06
-1.997069e+02 1.148275e+02 4.603526e+01 1.016937e+06
-1.995926e+02 1.146066e+02 4.594670e+01 1.014980e+06
-1.994770e+02 1.138862e+02 4.565788e+01 1.008600e+06
-1.993610e+02 1.135307e+02 4.551537e+01 1.005452e+06
-1.992441e+02 1.139283e+02 4.567474e+01 1.008973e+06
-1.991259e+02 1.140026e+02 4.570454e+01 1.009631e+06
-1.990068e+02 1.140029e+02 4.570465e+01 1.009633e+06
-1.988862e+02 1.143319e+02 4.583657e+01 1.012547e+06
-1.987637e+02 1.138235e+02 4.563273e+01 1.008045e+06
-1.986399e+02 1.138418e+02 4.564008e+01 1.008207e+06
-1.985157e+02 1.136703e+02 4.557131e+01 1.006688e+06
-1.983907e+02 1.133376e+02 4.543792e+01 1.003741e+06
-1.982644e+02 1.131477e+02 4.536182e+01 1.002060e+06
-1.981372e+02 1.133947e+02 4.546084e+01 1.004247e+06
-1.980088e+02 1.139436e+02 4.568088e+01 1.009108e+06
-1.978794e+02 1.138142e+02 4.562901e+01 1.007962e+06
-1.977497e+02 1.139681e+02 4.569073e+01 1.009326e+06
-1.976194e+02 1.137960e+02 4.562170e+01 1.007801e+06
-1.974881e+02 1.139082e+02 4.566671e+01 1.008795e+06
-1.973560e+02 1.133822e+02 4.545581e+01 1.004136e+06
-1.972226e+02 1.134357e+02 4.547725e+01 1.004610e+06
-1.970877e+02 1.141502e+02 4.576370e+01 1.010938e+06
-1.969514e+02 1.145794e+02 4.593577e+01 1.014739e+06
-1.968148e+02 1.145326e+02 4.591704e+01 1.014325e+06
-1.966784e+02 1.136564e+02 4.556575e+01 1.006565e+06
-1.965412e+02 1.136034e+02 4.554449e+01 1.006095e+06
-1.964032e+02 1.134361e+02 4.547744e+01 1.004614e+06
-1.962650e+02 1.137893e+02 4.561904e+01 1.007742e+06
-1.961260e+02 1.142073e+02 4.578662e+01 1.011444e+06
-1.959853e+02 1.145763e+02 4.593454e+01 1.014712e+06
-1.958438e+02 1.150263e+02 4.611494e+01 1.018697e+06
-1.957014e+02 1.154572e+02 4.628772e+01 1.022513e+06
-1.955571e+02 1.152829e+02 4.621781e+01 1.020969e+06
-1.954126e+02 1.146342e+02 4.595774e+01 1.015224e+06
-1.952689e+02 1.146443e+02 4.596181e+01 1.015314e+06
-1.951251e+02 1.143386e+02 4.583924e+01 1.012607e+06
-1.949815e+02 1.142580e+02 4.580691e+01 1.011892e+06
-1.948370e+02 1.143476e+02 4.584287e+01 1.012687e+06
-1.946907e+02 1.140255e+02 4.571371e+01 1.009834e+06
-1.945432e+02 1.139556e+02 4.568571e+01 1.009215e+06
-1.943956e+02 1.132580e+02 4.540603e+01 1.003037e+06
-1.942483e+02 1.129300e+02 4.527452e+01 1.000131e+06
-1.941011e+02 1.134568e+02 4.548574e+01 1.004797e+06
-1.939538e+02 1.140260e+02 4.571392e+01 1.009838e+06
-1.938070e+02 1.138491e+02 4.564299e+01 1.008271e+06
-1.936603e+02 1.139703e+02 4.569157e+01 1.009344e+06
-1.935131e+02 1.137585e+02 4.560667e+01 1.007469e+06
-1.933658e+02 1.133786e+02 4.545437e+01 1.004104e+06
-1.932184e+02 1.142795e+02 4.581553e+01 1.012083e+06
-1.930714e+02 1.138398e+02 4.563929e+01 1.008189e+06
-1.929251e+02 1.137964e+02 4.562187e+01 1.007805e+06
-1.927805e+02 1.129901e+02 4.529861e+01 1.000664e+06
-1.926369e+02 1.128112e+02 4.522688e+01 9.990791e+05
-1.924934e+02 1.130284e+02 4.531396e+01 1.001003e+06
-1.923511e+02 1.129394e+02 4.527828e+01 1.000215e+06
-1.922102e+02 1.128519e+02 4.524320e+01 9.994397e+05
-1.920703e+02 1.122630e+02 4.500710e+01 9.942242e+05
-1.919308e+02 1.118293e+02 4.483326e+01 9.903840e+05
-1.917919e+02 1.126513e+02 4.516279e+01 9.976634e+05
