#E_pot  E_kin  T  P
-7.947539e+02 1.167878e+02 4.682113e+01 1.034297e+06
-7.947501e+02 1.167394e+02 4.680172e+01 1.033868e+06
-7.947388e+02 1.161673e+02 4.657239e+01 1.028802e+06
-7.947200e+02 1.161896e+02 4.658134e+01 1.029000e+06
-7.946939e+02 1.159622e+02 4.649015e+01 1.026985e+06
-7.946603e+02 1.164931e+02 4.670298e+01 1.031687e+06
-7.946193e+02 1.161146e+02 4.655126e+01 1.028335e+06
-7.945710e+02 1.159000e+02 4.646520e+01 1.026434e+06
-7.945154e+02 1.154269e+02 4.627553e+01 1.022244e+06
-7.944525e+02 1.155157e+02 4.631115e+01 1.023031e+06
-7.943824e+02 1.153477e+02 4.624379e+01 1.021543e+06
-7.943051e+02 1.157373e+02 4.639998e+01 1.024993e+06
-7.942202e+02 1.163568e+02 4.664835e+01 1.030480e+06
-7.941275e+02 1.174679e+02 4.709380e+01 1.040320e+06
-7.940273e+02 1.177972e+02 4.722582e+01 1.043236e+06
-7.939197e+02 1.170886e+02 4.694173e+01 1.036961e+06
-7.938051e+02 1.165381e+02 4.672104e+01 1.032086e+06
-7.936835e+02 1.159475e+02 4.648428e+01 1.026856e+06
-7.935550e+02 1.153737e+02 4.625422e+01 1.021774e+06
-7.934191e+02 1.160029e+02 4.650647e+01 1.027346e+06
-7.932754e+02 1.164949e+02 4.670371e+01 1.031703e+06
-7.931244e+02 1.163984e+02 4.666503e+01 1.030848e+06
-7.929661e+02 1.165556e+02 4.672806e+01 1.032241e+06
-7.928004e+02 1.164695e+02 4.669354e+01 1.031478e+06
-7.926280e+02 1.161912e+02 4.658195e+01 1.029013e+06
-7.924486e+02 1.166793e+02 4.677766e+01 1.033337e+06
-7.922620e+02 1.165366e+02 4.672044e+01 1.032072e+06
-7.920683e+02 1.165185e+02 4.671320e+01 1.031912e+06
-7.918674e+02 1.166869e+02 4.678069e+01 1.033403e+06
-7.916596e+02 1.157664e+02 4.641167e+01 1.025252e+06
-7.914452e+02 1.159541e+02 4.648692e+01 1.026914e+06
-7.912235e+02 1.159559e+02 4.648763e+01 1.026930e+06
-7.909944e+02 1.156078e+02 4.634809e+01 1.023847e+06
-7.907582e+02 1.156248e+02 4.635490e+01 1.023997e+06
-7.905155e+02 1.158766e+02 4.645584e+01 1.026227e+06
-7.902661e+02 1.151676e+02 4.617158e+01 1.019948e+06
-7.900099e+02 1.147847e+02 4.601810e+01 1.016557e+06
-7.897473e+02 1.140389e+02 4.571908e+01 1.009952e+06
-7.894783e+02 1.138373e+02 4.563827e+01 1.008167e+06
-7.892031e+02 1.132292e+02 4.539449e+01 1.002782e+06
-7.889220e+02 1.132529e+02 4.540399e+01 1.002992e+06
-7.886348e+02 1.130249e+02 4.531259e+01 1.000973e+06
-7.883416e+02 1.131694e+02 4.537051e+01 1.002252e+06
-7.880427e+02 1.128557e+02 4.524474e+01 9.994738e+05
-7.877375e+02 1.131103e+02 4.534681e+01 1.001729e+06
-7.874261e+02 1.126013e+02 4.514276e+01 9.972209e+05
-7.871091e+02 1.120944e+02 4.493951e+01 9.927311e+05
-7.867866e+02 1.122092e+02 4.498555e+01 9.937481e+05
-7.864574e+02 1.126258e+02 4.515255e+01 9.974371e+05
-7.861216e+02 1.125690e+02 4.512980e+01 9.969347e+05
-7.857794e+02 1.127714e+02 4.521093e+01 9.987268e+05
-7.854315e+02 1.118889e+02 4.485715e+01 9.909117e+05
-7.850793e+02 1.110840e+02 4.453445e+01 9.837830e+05
-7.847222e+02 1.114870e+02 4.469603e+01 9.873525e+05
-7.843600e+02 1.111382e+02 4.455619e+01 9.842633e+05
-7.839926e+02 1.113195e+02 4.462887e+01 9.858688e+05
-7.836206e+02 1.104300e+02 4.427227e+01 9.779914e+05
-7.832445e+02 1.105294e+02 4.431209e+01 9.788710e+05
-7.828634e+02 1.104412e+02 4.427673e+01 9.780900e+05
-7.824776e+02 1.098050e+02 4.402170e+01 9.724563e+05
-7.820864e+02 1.099868e+02 4.409456e+01 9.740657e+05
-7.816892e+02 1.096500e+02 4.395954e+01 9.710832e+05
-7.812860e+02 1.094416e+02 4.387600e+01 9.692376e+05
-7.808781e+02 1.089591e+02 4.368258e+01 9.649649e+05
-7.804653e+02 1.091235e+02 4.374845e+01 9.664201e+05
-7.800459e+02 1.091127e+02 4.374415e+01 9.663250e+05
-7.796211e+02 1.082912e+02 4.341481e+01 9.590498e+05
-7.791924e+02 1.081135e+02 4.334354e+01 9.574754e+05
-7.787583e+02 1.076393e+02 4.315345e+01 9.532762e+05
-7.783183e+02 1.073385e+02 4.303284e+01 9.506120e+05
-7.778736e+02 1.073135e+02 4.302282e+01 9.503906e+05
-7.774240e+02 1.071200e+02 4.294524e+01 9.486769e+05
-7.769692e+02 1.066908e+02 4.277318e+01 9.448761e+05
