atom_index_my_simulation_pos,atom_name_my_simulation_pos,rmsf_nm_my_simulation_pos
99,Ar,0.6372518776090209
100,Ar,0.29580631885242054
101,Ar,0.3540329391465499
102,Ar,0.4051630146979269
103,Ar,0.3335751858201184
104,Ar,0.16665542528827743
105,Ar,0.2799502964977276
106,Ar,0.26539338018275754
107,Ar,0.40075596016027465
108,Ar,0.3733452212892617
109,Ar,0.26140584037133935
110,Ar,0.2422380248661346
111,Ar,0.3435210270239131
112,Ar,0.31450520848511504
113,Ar,0.1941389157194757
114,Ar,0.32659970750888484
115,Ar,0.2641364228416167
116,Ar,0.5207629286674679
117,Ar,0.6223368872269137
118,Ar,0.20375559399448662
119,Ar,0.4002142553313084
120,Ar,0.3111427557540747
121,Ar,0.13935248150236096
122,Ar,0.43393111514205124
123,Ar,0.3330313944876933
124,Ar,0.3757991951388773
125,Ar,0.33792249237382194
126,Ar,0.2777127952298517
127,Ar,0.25291147137765785
128,Ar,0.23893071697489032
129,Ar,0.356643678136765
130,Ar,0.798762807420708
131,Ar,0.4004723730503042
132,Ar,0.2660961920457643
133,Ar,0.13644332439649678
134,Ar,0.29256726767500696
135,Ar,0.4022929342534579
136,Ar,0.29673291911204724
137,Ar,0.18019811685341422
138,Ar,0.3632469506614483
139,Ar,0.37580828434912517
140,Ar,0.20098808209776284
141,Ar,0.2339820510672683
142,Ar,0.719747014453245
143,Ar,0.34019625375156526
144,Ar,0.958507277422313
145,Ar,0.3089916297855503
146,Ar,0.32989756691283223
147,Ar,0.447650347840808
148,Ar,0.4450284164725755
149,Ar,0.3858050031067111
150,Ar,0.28520377414657827
151,Ar,0.3245421136249354
152,Ar,0.3847108200907997
153,Ar,0.39749145674398945
154,Ar,0.2392499116639
155,Ar,0.31524584013010293
156,Ar,0.38108911535526757
157,Ar,0.39055614366317737
158,Ar,0.5369481983990628
159,Ar,0.25156889905634666
160,Ar,0.40624058358378656
161,Ar,0.25746097418761765
162,Ar,0.43627964154321924
163,Ar,0.21468251582968206
164,Ar,0.393144983930708
165,Ar,0.2257649555372341
166,Ar,0.22172036267841516
167,Ar,0.2130221446397182
168,Ar,0.34931870172001533
169,Ar,0.3654697629675201
170,Ar,0.3954144264732065
171,Ar,0.18963787576314417
172,Ar,0.3614552225863141
173,Ar,0.4740432837471062
174,Ar,0.1644764722129111
175,Ar,0.427333052125862
176,Ar,0.3416589431398736
177,Ar,0.3422084793726531
178,Ar,0.23494471573448159
179,Ar,0.5187153051293353
180,Ar,0.2941857797838319
181,Ar,0.2558094492693775
182,Ar,0.5510917780052
183,Ar,0.3577108382454619
184,Ar,0.3475948466059976
185,Ar,0.3257988358735631
186,Ar,0.25379916699787064
187,Ar,0.22909061233403055
188,Ar,0.15882563787429177
189,Ar,0.1897255090695302
190,Ar,0.11480240644791602
191,Ar,0.3162326269568749
192,Ar,0.48947678660089095
193,Ar,0.36220464617671294
194,Ar,0.8548028864729085
195,Ar,0.29925588046996143
196,Ar,0.431790549529688
197,Ar,0.4489997839410043
198,Ar,0.3098925862414693
199,Ar,0.5366701907013501
200,Ar,0.481300530790768
201,Ar,0.21607722171391172
202,Ar,0.3582657095645182
203,Ar,0.3212263983459735
204,Ar,0.23485982134830613
205,Ar,0.12685506856319065
206,Ar,0.23273577535565831
207,Ar,0.3430089668854725
208,Ar,0.6059758016012432
209,Ar,0.2980469025568837
210,Ar,0.37621327879127464
211,Ar,0.32400434085526814
212,Ar,0.5371646440468646
213,Ar,0.2934267737479214
214,Ar,0.26586645971294304
215,Ar,0.2975007522336427
216,Ar,0.46809837654280784
217,Ar,0.4825589417003311
218,Ar,0.6668011646378329
219,Ar,0.3818306421699028
220,Ar,0.18372710654104793
221,Ar,0.483283846043365
222,Ar,0.19061784507430146
223,Ar,0.4285044867638533
224,Ar,0.12362737640736933
225,Ar,0.29741601825548164
226,Ar,0.3089094649465006
227,Ar,0.3947200028154132
228,Ar,0.34666301473558586
229,Ar,0.1977395756865684
230,Ar,0.23016845955272067
231,Ar,0.2511698801251005
232,Ar,0.5229236273016534
233,Ar,0.180690629345285
234,Ar,0.5879237894781049
235,Ar,0.2140264273022744
236,Ar,0.4946377804129234
237,Ar,0.24877373940336006
238,Ar,0.17476944632206998
239,Ar,0.7980527696705058
240,Ar,0.4566187222316951
241,Ar,0.23998437508317141
242,Ar,0.4740948487438683
243,Ar,0.1950546791439922
244,Ar,0.5130557281262124
245,Ar,0.284254137577959
246,Ar,0.21279249298031128
247,Ar,0.448187284386781
248,Ar,0.26760009700371346
249,Ar,0.21073807576945652
250,Ar,0.640019610258082
251,Ar,0.20941751192647517
252,Ar,0.21704343069655366
253,Ar,0.4394823202448036
254,Ar,0.34604663516808815
255,Ar,0.1688658966580568
256,Ar,0.4367704858445665
257,Ar,0.3454402033360388
258,Ar,0.2735655498903983
259,Ar,0.21695774937476225
260,Ar,0.31389791775104886
261,Ar,0.3322509635484794
262,Ar,0.32563247907022685
263,Ar,0.24498529422825133
264,Ar,0.8157431955115766
265,Ar,0.19285504502743808
266,Ar,0.3247167871897127
267,Ar,0.2633727118750538
268,Ar,0.4391343780687688
269,Ar,0.21102254416998312
270,Ar,0.26922502355816885
271,Ar,0.3357021973235235
272,Ar,0.31755196784233947
273,Ar,0.24531055460764847
274,Ar,0.20275329505248435
275,Ar,0.8352195107058957
276,Ar,0.2916827524030375
277,Ar,0.21942244188905305
278,Ar,0.24406384539027295
279,Ar,0.2430053617276747
280,Ar,0.5504562018515191
281,Ar,0.5075378188677021
282,Ar,0.41608263896905406
283,Ar,0.4333957533952745
284,Ar,0.19238528663574014
285,Ar,0.3095408070780817
286,Ar,0.1824533055295227
287,Ar,0.6323219088884346
288,Ar,0.3119897925276351
289,Ar,0.39380237870214324
290,Ar,0.41175053675465034
291,Ar,0.5064322219065175
292,Ar,0.4442487354740907
293,Ar,0.22413963643589166
294,Ar,0.33525267797317715
295,Ar,0.41923216136375396
296,Ar,0.1911539564322093
297,Ar,0.2789297024574836
298,Ar,0.36905636847821194
299,Ar,0.3163713826648827
300,Ar,0.4074632982920766
301,Ar,0.32341154409918843
302,Ar,0.4742931116246547
303,Ar,0.25582689256652774
304,Ar,0.24802924632738568
305,Ar,0.38455570500705
306,Ar,0.23971191654847124
307,Ar,0.43215103356760076
308,Ar,0.18725470480495432
309,Ar,0.510742491248529
310,Ar,0.2781426765942156
311,Ar,0.46002452710658986
312,Ar,0.22958890153187358
313,Ar,0.17933220361152524
314,Ar,0.4066070596724045
315,Ar,0.23508915837717098
316,Ar,0.18140775997128622
317,Ar,0.19868130848594598
318,Ar,0.35121142080234374
319,Ar,0.40037500348650457
320,Ar,0.35662986534222035
321,Ar,0.38193847361828415
322,Ar,0.236944234575924
323,Ar,0.2308444280760096
324,Ar,0.21391972079549024
325,Ar,0.2585692931889032
326,Ar,0.6368263087516968
327,Ar,0.21275567506917928
328,Ar,0.37624002012478097
329,Ar,0.20275442417035502
330,Ar,0.16162987959638367
331,Ar,0.46923006804288353
332,Ar,0.4486601380381165
333,Ar,0.27778184177750553
334,Ar,0.20885180011165103
335,Ar,0.6078242010293959
336,Ar,0.14783177247107573
337,Ar,0.3852591069390068
338,Ar,0.44746334763654955
339,Ar,0.25207250244618457
340,Ar,0.45716710576960173
341,Ar,0.35145571109927465
342,Ar,0.4535529987317341
343,Ar,0.2926511052324516
