#E_pot  E_kin  T  P
-4.281320e+02 4.990088e+02 2.000566e+02 8.631496e+06
-4.281228e+02 5.003244e+02 2.005840e+02 8.654252e+06
-4.280991e+02 5.002694e+02 2.005619e+02 8.653301e+06
-4.280612e+02 4.980525e+02 1.996731e+02 8.614954e+06
-4.280088e+02 4.945584e+02 1.982724e+02 8.554517e+06
-4.279419e+02 4.948583e+02 1.983926e+02 8.559703e+06
-4.278605e+02 4.930520e+02 1.976684e+02 8.528459e+06
-4.277650e+02 4.905791e+02 1.966770e+02 8.485685e+06
-4.276555e+02 4.894568e+02 1.962271e+02 8.466272e+06
-4.275322e+02 4.902338e+02 1.965386e+02 8.479713e+06
-4.273956e+02 4.890979e+02 1.960832e+02 8.460064e+06
-4.272459e+02 4.852527e+02 1.945416e+02 8.393552e+06
-4.270828e+02 4.862233e+02 1.949307e+02 8.410341e+06
-4.269059e+02 4.849825e+02 1.944333e+02 8.388878e+06
-4.267159e+02 4.817600e+02 1.931414e+02 8.333139e+06
-4.265127e+02 4.810106e+02 1.928409e+02 8.320177e+06
-4.262962e+02 4.808788e+02 1.927881e+02 8.317896e+06
-4.260656e+02 4.831577e+02 1.937017e+02 8.357315e+06
-4.258210e+02 4.805661e+02 1.926627e+02 8.312487e+06
-4.255632e+02 4.787885e+02 1.919501e+02 8.281740e+06
-4.252915e+02 4.784844e+02 1.918281e+02 8.276479e+06
-4.250052e+02 4.780079e+02 1.916371e+02 8.268238e+06
-4.247041e+02 4.776011e+02 1.914740e+02 8.261201e+06
-4.243894e+02 4.756112e+02 1.906763e+02 8.226782e+06
-4.240614e+02 4.744157e+02 1.901970e+02 8.206102e+06
-4.237193e+02 4.745643e+02 1.902565e+02 8.208672e+06
-4.233622e+02 4.732648e+02 1.897356e+02 8.186195e+06
-4.229911e+02 4.714014e+02 1.889885e+02 8.153963e+06
-4.226060e+02 4.722246e+02 1.893185e+02 8.168202e+06
-4.222060e+02 4.732248e+02 1.897196e+02 8.185504e+06
-4.217923e+02 4.735507e+02 1.898502e+02 8.191141e+06
-4.213645e+02 4.729926e+02 1.896265e+02 8.181487e+06
-4.209225e+02 4.713577e+02 1.889710e+02 8.153207e+06
-4.204664e+02 4.715404e+02 1.890442e+02 8.156367e+06
-4.199949e+02 4.706475e+02 1.886863e+02 8.140922e+06
-4.195087e+02 4.682586e+02 1.877285e+02 8.099600e+06
-4.190071e+02 4.683503e+02 1.877653e+02 8.101187e+06
-4.184894e+02 4.683280e+02 1.877564e+02 8.100801e+06
-4.179565e+02 4.721881e+02 1.893039e+02 8.167570e+06
-4.174090e+02 4.686821e+02 1.878984e+02 8.106927e+06
-4.168480e+02 4.675894e+02 1.874603e+02 8.088025e+06
-4.162714e+02 4.684921e+02 1.878222e+02 8.103640e+06
-4.156796e+02 4.672631e+02 1.873294e+02 8.082381e+06
-4.150737e+02 4.669208e+02 1.871922e+02 8.076460e+06
-4.144530e+02 4.673574e+02 1.873673e+02 8.084013e+06
-4.138177e+02 4.659785e+02 1.868144e+02 8.060161e+06
-4.131667e+02 4.655301e+02 1.866347e+02 8.052405e+06
-4.125024e+02 4.627371e+02 1.855149e+02 8.004094e+06
-4.118266e+02 4.624704e+02 1.854080e+02 7.999481e+06
-4.111373e+02 4.608277e+02 1.847494e+02 7.971066e+06
-4.104335e+02 4.588511e+02 1.839570e+02 7.936877e+06
-4.097145e+02 4.547070e+02 1.822956e+02 7.865195e+06
-4.089779e+02 4.547002e+02 1.822929e+02 7.865078e+06
-4.082250e+02 4.540549e+02 1.820342e+02 7.853915e+06
-4.074591e+02 4.515528e+02 1.810311e+02 7.810636e+06
-4.066775e+02 4.512295e+02 1.809015e+02 7.805044e+06
-4.058822e+02 4.499349e+02 1.803824e+02 7.782651e+06
-4.050730e+02 4.498948e+02 1.803664e+02 7.781958e+06
-4.042486e+02 4.487726e+02 1.799165e+02 7.762547e+06
-4.034136e+02 4.484185e+02 1.797745e+02 7.756422e+06
-4.025689e+02 4.461178e+02 1.788521e+02 7.716625e+06
-4.017113e+02 4.460265e+02 1.788155e+02 7.715046e+06
-4.008346e+02 4.473047e+02 1.793279e+02 7.737155e+06
-3.999421e+02 4.471541e+02 1.792676e+02 7.734551e+06
-3.990376e+02 4.439652e+02 1.779891e+02 7.679391e+06
-3.981163e+02 4.440538e+02 1.780247e+02 7.680925e+06
-3.971803e+02 4.464095e+02 1.789691e+02 7.721671e+06
-3.962329e+02 4.474637e+02 1.793917e+02 7.739906e+06
-3.952753e+02 4.456900e+02 1.786806e+02 7.709226e+06
-3.943065e+02 4.473565e+02 1.793487e+02 7.738051e+06
-3.933235e+02 4.477664e+02 1.795131e+02 7.745141e+06
-3.923247e+02 4.466119e+02 1.790502e+02 7.725173e+06
-3.913115e+02 4.481846e+02 1.796807e+02 7.752375e+06
-3.902886e+02 4.476864e+02 1.794810e+02 7.743758e+06
-3.892561e+02 4.512053e+02 1.808918e+02 7.804626e+06
-3.882148e+02 4.507261e+02 1.806996e+02 7.796336e+06
-3.871704e+02 4.458808e+02 1.787571e+02 7.712525e+06
-3.861209e+02 4.448755e+02 1.783541e+02 7.695136e+06
-3.850551e+02 4.435457e+02 1.778210e+02 7.672135e+06
-3.839756e+02 4.460120e+02 1.788097e+02 7.714796e+06
-3.828873e+02 4.447784e+02 1.783152e+02 7.693458e+06
-3.817948e+02 4.441182e+02 1.780505e+02 7.682039e+06
-3.806993e+02 4.446428e+02 1.782608e+02 7.691111e+06
-3.795946e+02 4.419392e+02 1.771769e+02 7.644347e+06
-3.784822e+02 4.406365e+02 1.766546e+02 7.621814e+06
-3.773646e+02 4.380468e+02 1.756164e+02 7.577020e+06
-3.762434e+02 4.356833e+02 1.746689e+02 7.536137e+06
-3.751180e+02 4.381926e+02 1.756749e+02 7.579542e+06
-3.739845e+02 4.367214e+02 1.750850e+02 7.554094e+06
-3.728436e+02 4.344317e+02 1.741671e+02 7.514487e+06
-3.717025e+02 4.326805e+02 1.734650e+02 7.484196e+06
-3.705592e+02 4.318765e+02 1.731427e+02 7.470290e+06
-3.694103e+02 4.322533e+02 1.732937e+02 7.476807e+06
-3.682609e+02 4.302653e+02 1.724968e+02 7.442421e+06
-3.671190e+02 4.303379e+02 1.725258e+02 7.443676e+06
-3.659817e+02 4.298046e+02 1.723120e+02 7.434451e+06
-3.648369e+02 4.309310e+02 1.727636e+02 7.453935e+06
-3.636910e+02 4.292888e+02 1.721052e+02 7.425529e+06
-3.625515e+02 4.281666e+02 1.716553e+02 7.406118e+06
-3.614168e+02 4.277446e+02 1.714862e+02 7.398818e+06
-3.602890e+02 4.285440e+02 1.718066e+02 7.412646e+06
