#E_pot  E_kin  T  P
-2.392703e+02 1.162944e+02 4.662333e+01 1.029927e+06
-2.392717e+02 1.156550e+02 4.636698e+01 1.024265e+06
-2.392713e+02 1.158644e+02 4.645094e+01 1.026119e+06
-2.392690e+02 1.149985e+02 4.610378e+01 1.018450e+06
-2.392649e+02 1.155496e+02 4.632476e+01 1.023332e+06
-2.392591e+02 1.147517e+02 4.600487e+01 1.016265e+06
-2.392514e+02 1.143119e+02 4.582854e+01 1.012370e+06
-2.392419e+02 1.146468e+02 4.596280e+01 1.015336e+06
-2.392307e+02 1.143876e+02 4.585888e+01 1.013040e+06
-2.392178e+02 1.138496e+02 4.564321e+01 1.008276e+06
-2.392031e+02 1.137679e+02 4.561044e+01 1.007552e+06
-2.391868e+02 1.137529e+02 4.560445e+01 1.007420e+06
-2.391689e+02 1.139996e+02 4.570335e+01 1.009605e+06
-2.391494e+02 1.141746e+02 4.577349e+01 1.011154e+06
-2.391284e+02 1.136005e+02 4.554334e+01 1.006070e+06
-2.391057e+02 1.131124e+02 4.534765e+01 1.001747e+06
-2.390814e+02 1.129740e+02 4.529215e+01 1.000521e+06
-2.390555e+02 1.134295e+02 4.547478e+01 1.004555e+06
-2.390280e+02 1.132807e+02 4.541511e+01 1.003237e+06
-2.389989e+02 1.134090e+02 4.546656e+01 1.004374e+06
-2.389680e+02 1.135751e+02 4.553317e+01 1.005845e+06
-2.389354e+02 1.135580e+02 4.552630e+01 1.005693e+06
-2.389011e+02 1.139941e+02 4.570112e+01 1.009555e+06
-2.388651e+02 1.143491e+02 4.584344e+01 1.012699e+06
-2.388275e+02 1.140863e+02 4.573809e+01 1.010372e+06
-2.387883e+02 1.150039e+02 4.610595e+01 1.018498e+06
-2.387474e+02 1.150555e+02 4.612664e+01 1.018955e+06
-2.387046e+02 1.152763e+02 4.621519e+01 1.020911e+06
-2.386601e+02 1.145457e+02 4.592228e+01 1.014441e+06
-2.386140e+02 1.148442e+02 4.604194e+01 1.017084e+06
-2.385663e+02 1.144896e+02 4.589979e+01 1.013944e+06
-2.385170e+02 1.140176e+02 4.571053e+01 1.009763e+06
-2.384661e+02 1.145470e+02 4.592279e+01 1.014452e+06
-2.384134e+02 1.148686e+02 4.605172e+01 1.017300e+06
-2.383587e+02 1.151967e+02 4.618326e+01 1.020206e+06
-2.383023e+02 1.153240e+02 4.623430e+01 1.021333e+06
-2.382441e+02 1.153896e+02 4.626059e+01 1.021914e+06
-2.381842e+02 1.151468e+02 4.616326e+01 1.019764e+06
-2.381227e+02 1.154011e+02 4.626519e+01 1.022016e+06
-2.380595e+02 1.154345e+02 4.627860e+01 1.022312e+06
-2.379949e+02 1.150622e+02 4.612933e+01 1.019015e+06
-2.379290e+02 1.147652e+02 4.601029e+01 1.016385e+06
-2.378618e+02 1.148979e+02 4.606348e+01 1.017560e+06
-2.377929e+02 1.149408e+02 4.608066e+01 1.017939e+06
-2.377226e+02 1.144421e+02 4.588073e+01 1.013523e+06
-2.376508e+02 1.145469e+02 4.592276e+01 1.014451e+06
-2.375774e+02 1.147823e+02 4.601712e+01 1.016536e+06
-2.375020e+02 1.148865e+02 4.605889e+01 1.017459e+06
-2.374248e+02 1.147032e+02 4.598543e+01 1.015836e+06
-2.373460e+02 1.148743e+02 4.605401e+01 1.017351e+06
-2.372655e+02 1.151645e+02 4.617034e+01 1.019920e+06
-2.371837e+02 1.143909e+02 4.586022e+01 1.013070e+06
-2.371006e+02 1.143365e+02 4.583840e+01 1.012588e+06
-2.370156e+02 1.146309e+02 4.595642e+01 1.015195e+06
-2.369287e+02 1.144436e+02 4.588132e+01 1.013536e+06
-2.368401e+02 1.146396e+02 4.595992e+01 1.015272e+06
-2.367497e+02 1.139407e+02 4.567971e+01 1.009082e+06
-2.366576e+02 1.137598e+02 4.560719e+01 1.007480e+06
-2.365636e+02 1.139831e+02 4.569670e+01 1.009458e+06
-2.364676e+02 1.144485e+02 4.588330e+01 1.013580e+06
-2.363697e+02 1.143408e+02 4.584012e+01 1.012626e+06
-2.362708e+02 1.144996e+02 4.590377e+01 1.014032e+06
-2.361708e+02 1.148685e+02 4.605169e+01 1.017299e+06
-2.360694e+02 1.137849e+02 4.561726e+01 1.007703e+06
-2.359666e+02 1.131456e+02 4.536094e+01 1.002041e+06
-2.358624e+02 1.131830e+02 4.537596e+01 1.002372e+06
-2.357570e+02 1.119985e+02 4.490106e+01 9.918817e+05
-2.356502e+02 1.124354e+02 4.507623e+01 9.957513e+05
-2.355420e+02 1.120991e+02 4.494140e+01 9.927729e+05
-2.354320e+02 1.127176e+02 4.518937e+01 9.982505e+05
-2.353204e+02 1.122520e+02 4.500270e+01 9.941270e+05
-2.352075e+02 1.126555e+02 4.516448e+01 9.977006e+05
-2.350933e+02 1.124365e+02 4.507669e+01 9.957615e+05
-2.349777e+02 1.117511e+02 4.480191e+01 9.896914e+05
-2.348608e+02 1.113984e+02 4.466048e+01 9.865672e+05
-2.347432e+02 1.117081e+02 4.478466e+01 9.893104e+05
-2.346251e+02 1.120853e+02 4.493587e+01 9.926507e+05
-2.345063e+02 1.123668e+02 4.504872e+01 9.951434e+05
-2.343864e+02 1.128181e+02 4.522964e+01 9.991402e+05
-2.342655e+02 1.123732e+02 4.505131e+01 9.952006e+05
-2.341434e+02 1.123570e+02 4.504480e+01 9.950569e+05
-2.340204e+02 1.112183e+02 4.458829e+01 9.849725e+05
-2.338965e+02 1.110912e+02 4.453734e+01 9.838470e+05
-2.337717e+02 1.102964e+02 4.421867e+01 9.768075e+05
-2.336469e+02 1.095609e+02 4.392384e+01 9.702945e+05
-2.335216e+02 1.096924e+02 4.397655e+01 9.714588e+05
-2.333951e+02 1.097541e+02 4.400128e+01 9.720053e+05
-2.332674e+02 1.100262e+02 4.411036e+01 9.744149e+05
-2.331385e+02 1.102552e+02 4.420217e+01 9.764430e+05
-2.330084e+02 1.096697e+02 4.396746e+01 9.712580e+05
-2.328773e+02 1.103456e+02 4.423843e+01 9.772438e+05
-2.327455e+02 1.102389e+02 4.419565e+01 9.762988e+05
-2.326136e+02 1.095776e+02 4.393051e+01 9.704419e+05
-2.324814e+02 1.094817e+02 4.389207e+01 9.695926e+05
-2.323497e+02 1.092721e+02 4.380805e+01 9.677367e+05
-2.322180e+02 1.094022e+02 4.386019e+01 9.688885e+05
-2.320853e+02 1.098017e+02 4.402038e+01 9.724271e+05
-2.319513e+02 1.095637e+02 4.392495e+01 9.703191e+05
-2.318161e+02 1.087330e+02 4.359191e+01 9.629621e+05
-2.316800e+02 1.084952e+02 4.349660e+01 9.608565e+05
-2.315425e+02 1.085548e+02 4.352048e+01 9.613842e+05
-2.314040e+02 1.079072e+02 4.326083e+01 9.556482e+05
-2.312648e+02 1.081569e+02 4.336096e+01 9.578603e+05
-2.311252e+02 1.084339e+02 4.347199e+01 9.603130e+05
-2.309851e+02 1.088345e+02 4.363259e+01 9.638606e+05
-2.308443e+02 1.086801e+02 4.357069e+01 9.624934e+05
-2.307033e+02 1.083916e+02 4.345502e+01 9.599382e+05
-2.305624e+02 1.081823e+02 4.337112e+01 9.580846e+05
-2.304211e+02 1.084511e+02 4.347888e+01 9.604651e+05
-2.302797e+02 1.082998e+02 4.341822e+01 9.591252e+05
