#E_pot  E_kin  T  P
-2.392703e+02 1.358840e+02 5.447697e+01 1.203417e+06
-2.392612e+02 1.360300e+02 5.453551e+01 1.204710e+06
-2.392501e+02 1.350976e+02 5.416168e+01 1.196452e+06
-2.392369e+02 1.345978e+02 5.396131e+01 1.192026e+06
-2.392219e+02 1.345663e+02 5.394869e+01 1.191747e+06
-2.392051e+02 1.343333e+02 5.385525e+01 1.189683e+06
-2.391863e+02 1.346090e+02 5.396581e+01 1.192125e+06
-2.391655e+02 1.340718e+02 5.375043e+01 1.187368e+06
-2.391425e+02 1.339347e+02 5.369546e+01 1.186153e+06
-2.391176e+02 1.341848e+02 5.379576e+01 1.188369e+06
-2.390909e+02 1.342016e+02 5.380247e+01 1.188517e+06
-2.390622e+02 1.343478e+02 5.386110e+01 1.189812e+06
-2.390313e+02 1.336491e+02 5.358097e+01 1.183624e+06
-2.389984e+02 1.336686e+02 5.358881e+01 1.183797e+06
-2.389635e+02 1.337264e+02 5.361198e+01 1.184309e+06
-2.389263e+02 1.338562e+02 5.366399e+01 1.185458e+06
-2.388872e+02 1.336787e+02 5.359282e+01 1.183886e+06
-2.388464e+02 1.336575e+02 5.358434e+01 1.183699e+06
-2.388038e+02 1.331279e+02 5.337202e+01 1.179008e+06
-2.387590e+02 1.329716e+02 5.330935e+01 1.177624e+06
-2.387122e+02 1.328981e+02 5.327987e+01 1.176973e+06
-2.386634e+02 1.323571e+02 5.306300e+01 1.172182e+06
-2.386126e+02 1.324284e+02 5.309160e+01 1.172814e+06
-2.385598e+02 1.322906e+02 5.303633e+01 1.171593e+06
-2.385047e+02 1.324788e+02 5.311177e+01 1.173259e+06
-2.384476e+02 1.320298e+02 5.293180e+01 1.169284e+06
-2.383887e+02 1.315627e+02 5.274453e+01 1.165147e+06
-2.383281e+02 1.307178e+02 5.240580e+01 1.157664e+06
-2.382656e+02 1.299992e+02 5.211771e+01 1.151300e+06
-2.382014e+02 1.297715e+02 5.202640e+01 1.149283e+06
-2.381353e+02 1.303058e+02 5.224060e+01 1.154015e+06
-2.380674e+02 1.300028e+02 5.211916e+01 1.151332e+06
-2.379978e+02 1.304141e+02 5.228405e+01 1.154975e+06
-2.379264e+02 1.308681e+02 5.246607e+01 1.158996e+06
-2.378532e+02 1.300449e+02 5.213604e+01 1.151705e+06
-2.377779e+02 1.300683e+02 5.214541e+01 1.151912e+06
-2.377007e+02 1.298498e+02 5.205780e+01 1.149977e+06
-2.376214e+02 1.300518e+02 5.213878e+01 1.151766e+06
-2.375400e+02 1.298950e+02 5.207592e+01 1.150377e+06
-2.374565e+02 1.300946e+02 5.215596e+01 1.152145e+06
