#E_pot  E_kin  T  P
-9.779547e+02 4.803129e+02 1.925612e+02 1.969329e+07
-9.779375e+02 4.811675e+02 1.929038e+02 1.972833e+07
-9.778786e+02 4.821510e+02 1.932981e+02 1.976866e+07
-9.777775e+02 4.846340e+02 1.942936e+02 1.987046e+07
-9.776340e+02 4.850697e+02 1.944682e+02 1.988832e+07
-9.774477e+02 4.859663e+02 1.948277e+02 1.992509e+07
-9.772183e+02 4.872277e+02 1.953334e+02 1.997680e+07
-9.769446e+02 4.879218e+02 1.956117e+02 2.000526e+07
-9.766262e+02 4.841988e+02 1.941191e+02 1.985262e+07
-9.762641e+02 4.845145e+02 1.942457e+02 1.986556e+07
-9.758584e+02 4.849517e+02 1.944210e+02 1.988349e+07
-9.754088e+02 4.871066e+02 1.952849e+02 1.997184e+07
-9.749140e+02 4.897253e+02 1.963347e+02 2.007921e+07
-9.743727e+02 4.911980e+02 1.969252e+02 2.013959e+07
-9.737847e+02 4.914864e+02 1.970408e+02 2.015142e+07
-9.731501e+02 4.880591e+02 1.956667e+02 2.001089e+07
-9.724681e+02 4.879957e+02 1.956413e+02 2.000829e+07
-9.717397e+02 4.848701e+02 1.943882e+02 1.988014e+07
-9.709640e+02 4.827062e+02 1.935207e+02 1.979142e+07
-9.701403e+02 4.808346e+02 1.927703e+02 1.971468e+07
-9.692700e+02 4.822233e+02 1.933271e+02 1.977162e+07
-9.683531e+02 4.805501e+02 1.926563e+02 1.970302e+07
-9.673872e+02 4.832824e+02 1.937517e+02 1.981505e+07
-9.663711e+02 4.809290e+02 1.928082e+02 1.971855e+07
-9.653058e+02 4.797173e+02 1.923224e+02 1.966887e+07
-9.641933e+02 4.756891e+02 1.907075e+02 1.950371e+07
-9.630355e+02 4.733078e+02 1.897528e+02 1.940608e+07
-9.618295e+02 4.713363e+02 1.889624e+02 1.932524e+07
-9.605754e+02 4.659183e+02 1.867903e+02 1.910310e+07
-9.592727e+02 4.627001e+02 1.855001e+02 1.897115e+07
-9.579192e+02 4.614319e+02 1.849917e+02 1.891915e+07
-9.565137e+02 4.610449e+02 1.848365e+02 1.890328e+07
-9.550573e+02 4.590466e+02 1.840354e+02 1.882135e+07
-9.535523e+02 4.562053e+02 1.828963e+02 1.870486e+07
-9.519978e+02 4.574611e+02 1.833998e+02 1.875635e+07
-9.503921e+02 4.530147e+02 1.816171e+02 1.857404e+07
-9.487358e+02 4.525441e+02 1.814285e+02 1.855475e+07
