Zeitpunkt: 1784225298.947357; Simulationschritt: 10600
Zeitpunkt: 1784225342.1548932; Simulationschritt: 10700
Zeitpunkt: 1784225385.327523; Simulationschritt: 10800
Zeitpunkt: 1784225428.6741; Simulationschritt: 10900
Zeitpunkt: 1784225472.0662022; Simulationschritt: 11000
Zeitpunkt: 1784225515.254584; Simulationschritt: 11100
Zeitpunkt: 1784225558.4396899; Simulationschritt: 11200
Zeitpunkt: 1784225601.7309818; Simulationschritt: 11300
Zeitpunkt: 1784225644.965512; Simulationschritt: 11400
Zeitpunkt: 1784225688.140042; Simulationschritt: 11500
Zeitpunkt: 1784225731.28604; Simulationschritt: 11600
Zeitpunkt: 1784225774.8309891; Simulationschritt: 11700
Zeitpunkt: 1784225817.973042; Simulationschritt: 11800
Zeitpunkt: 1784225861.1374452; Simulationschritt: 11900
Zeitpunkt: 1784225904.32769; Simulationschritt: 12000
Zeitpunkt: 1784225947.699564; Simulationschritt: 12100
Zeitpunkt: 1784225990.892107; Simulationschritt: 12200
Zeitpunkt: 1784226034.031685; Simulationschritt: 12300
Zeitpunkt: 1784226077.4572659; Simulationschritt: 12400
Zeitpunkt: 1784226120.723924; Simulationschritt: 12500
Zeitpunkt: 1784226163.893447; Simulationschritt: 12600
Zeitpunkt: 1784226207.0809312; Simulationschritt: 12700
Zeitpunkt: 1784226250.4746501; Simulationschritt: 12800
Zeitpunkt: 1784226293.9133; Simulationschritt: 12900
Zeitpunkt: 1784226337.281466; Simulationschritt: 13000
Zeitpunkt: 1784226380.4745998; Simulationschritt: 13100
Zeitpunkt: 1784226424.421024; Simulationschritt: 13200
Zeitpunkt: 1784226467.6379368; Simulationschritt: 13300
Zeitpunkt: 1784226510.78954; Simulationschritt: 13400
Zeitpunkt: 1784226553.943566; Simulationschritt: 13500
Zeitpunkt: 1784226597.386602; Simulationschritt: 13600
Zeitpunkt: 1784226640.5737119; Simulationschritt: 13700
Zeitpunkt: 1784226683.761451; Simulationschritt: 13800
Zeitpunkt: 1784226726.939784; Simulationschritt: 13900
Zeitpunkt: 1784226771.112384; Simulationschritt: 14000
Zeitpunkt: 1784226816.925503; Simulationschritt: 14100
Zeitpunkt: 1784226861.0757718; Simulationschritt: 14200
Zeitpunkt: 1784226904.2903092; Simulationschritt: 14300
Zeitpunkt: 1784226947.494543; Simulationschritt: 14400
Zeitpunkt: 1784226990.957185; Simulationschritt: 14500
Zeitpunkt: 1784227034.363904; Simulationschritt: 14600
Zeitpunkt: 1784227077.5378811; Simulationschritt: 14700
Zeitpunkt: 1784227120.746196; Simulationschritt: 14800
Zeitpunkt: 1784227164.153242; Simulationschritt: 14900
Zeitpunkt: 1784227207.4009001; Simulationschritt: 15000
Zeitpunkt: 1784227250.6023612; Simulationschritt: 15100
Zeitpunkt: 1784227293.876311; Simulationschritt: 15200
Zeitpunkt: 1784227337.480788; Simulationschritt: 15300
Zeitpunkt: 1784227380.7752252; Simulationschritt: 15400
Zeitpunkt: 1784227424.105522; Simulationschritt: 15500
Zeitpunkt: 1784227467.370629; Simulationschritt: 15600
Zeitpunkt: 1784227510.713684; Simulationschritt: 15700
Zeitpunkt: 1784227553.915421; Simulationschritt: 15800
Zeitpunkt: 1784227597.112124; Simulationschritt: 15900
Zeitpunkt: 1784227640.68719; Simulationschritt: 16000
Zeitpunkt: 1784227683.917658; Simulationschritt: 16100
Zeitpunkt: 1784227727.1868658; Simulationschritt: 16200
Zeitpunkt: 1784227770.5539541; Simulationschritt: 16300
Zeitpunkt: 1784227813.924897; Simulationschritt: 16400
Zeitpunkt: 1784227857.108199; Simulationschritt: 16500
Zeitpunkt: 1784227900.289069; Simulationschritt: 16600
Zeitpunkt: 1784227943.74311; Simulationschritt: 16700
Zeitpunkt: 1784227987.0888221; Simulationschritt: 16800
Zeitpunkt: 1784228030.355314; Simulationschritt: 16900
Zeitpunkt: 1784228073.656564; Simulationschritt: 17000
Zeitpunkt: 1784228118.610063; Simulationschritt: 17100
Zeitpunkt: 1784228162.553565; Simulationschritt: 17200
Zeitpunkt: 1784228205.747782; Simulationschritt: 17300
Zeitpunkt: 1784228249.064242; Simulationschritt: 17400
Zeitpunkt: 1784228292.9414778; Simulationschritt: 17500
Zeitpunkt: 1784228336.231616; Simulationschritt: 17600
Zeitpunkt: 1784228379.5175; Simulationschritt: 17700
Zeitpunkt: 1784228422.927949; Simulationschritt: 17800
Zeitpunkt: 1784228467.70141; Simulationschritt: 17900
Zeitpunkt: 1784228510.924316; Simulationschritt: 18000
Zeitpunkt: 1784228554.32243; Simulationschritt: 18100
Zeitpunkt: 1784228597.772831; Simulationschritt: 18200
Zeitpunkt: 1784228641.276717; Simulationschritt: 18300
Zeitpunkt: 1784228684.813961; Simulationschritt: 18400
Zeitpunkt: 1784228728.305695; Simulationschritt: 18500
Zeitpunkt: 1784228771.773346; Simulationschritt: 18600
Zeitpunkt: 1784228815.2643058; Simulationschritt: 18700
Zeitpunkt: 1784228858.705428; Simulationschritt: 18800
Zeitpunkt: 1784228902.210724; Simulationschritt: 18900
Zeitpunkt: 1784228945.841816; Simulationschritt: 19000
Zeitpunkt: 1784228989.3006022; Simulationschritt: 19100
Zeitpunkt: 1784229032.917301; Simulationschritt: 19200
Zeitpunkt: 1784229076.505978; Simulationschritt: 19300
Zeitpunkt: 1784229119.928372; Simulationschritt: 19400
Zeitpunkt: 1784229163.4130108; Simulationschritt: 19500
Zeitpunkt: 1784229206.881129; Simulationschritt: 19600
Zeitpunkt: 1784229250.292016; Simulationschritt: 19700
Zeitpunkt: 1784229293.672642; Simulationschritt: 19800
Zeitpunkt: 1784229337.1112041; Simulationschritt: 19900
Zeitpunkt: 1784229380.525438; Simulationschritt: 20000
Zeitpunkt: 1784229423.939397; Simulationschritt: 20100
