#E_pot  E_kin  T  P
-5.578073e-05 7.002470e+02 2.807345e+02 7.751917e+02
-5.759446e-05 6.885232e+02 2.760344e+02 7.622131e+02
-5.896960e-05 6.830111e+02 2.738245e+02 7.561111e+02
-6.142857e-05 6.987723e+02 2.801433e+02 7.735591e+02
-6.388101e-05 7.371399e+02 2.955252e+02 8.160331e+02
-6.432106e-05 7.296471e+02 2.925213e+02 8.077384e+02
-6.511396e-05 7.654411e+02 3.068714e+02 8.473633e+02
-6.656837e-05 7.568423e+02 3.034240e+02 8.378442e+02
-6.695996e-05 7.252888e+02 2.907740e+02 8.029136e+02
-6.758697e-05 7.955409e+02 3.189386e+02 8.806845e+02
-6.978252e-05 7.770975e+02 3.115445e+02 8.602671e+02
-7.175513e-05 7.845144e+02 3.145180e+02 8.684779e+02
-7.264380e-05 7.577671e+02 3.037948e+02 8.388680e+02
-7.444160e-05 7.710956e+02 3.091383e+02 8.536229e+02
-7.854291e-05 7.610878e+02 3.051261e+02 8.425440e+02
-8.410644e-05 7.492189e+02 3.003678e+02 8.294049e+02
-8.906768e-05 7.773865e+02 3.116603e+02 8.605871e+02
-9.497706e-05 7.807743e+02 3.130186e+02 8.643375e+02
-1.034091e-04 7.997924e+02 3.206430e+02 8.853910e+02
-1.124205e-04 7.982822e+02 3.200376e+02 8.837191e+02
-1.238482e-04 7.769213e+02 3.114738e+02 8.600721e+02
-1.427944e-04 7.547929e+02 3.026024e+02 8.355754e+02
-1.689909e-04 7.876637e+02 3.157806e+02 8.719643e+02
-1.996814e-04 7.752352e+02 3.107979e+02 8.582056e+02
-2.419826e-04 7.587967e+02 3.042075e+02 8.400077e+02
-2.998258e-04 7.907513e+02 3.170184e+02 8.753822e+02
-3.709407e-04 8.028222e+02 3.218577e+02 8.887450e+02
-4.431914e-04 8.047364e+02 3.226251e+02 8.908641e+02
-5.124071e-04 8.029278e+02 3.219001e+02 8.888620e+02
-5.582496e-04 8.216052e+02 3.293880e+02 9.095383e+02
-5.725510e-04 7.525743e+02 3.017130e+02 8.331194e+02
-6.120332e-04 7.252801e+02 2.907705e+02 8.029040e+02
-6.515945e-04 7.547002e+02 3.025653e+02 8.354728e+02
-6.643504e-04 7.418475e+02 2.974125e+02 8.212445e+02
-6.816829e-04 7.235310e+02 2.900692e+02 8.009676e+02
-7.030745e-04 7.374805e+02 2.956617e+02 8.164101e+02
-6.749342e-04 7.309191e+02 2.930312e+02 8.091465e+02
-5.816350e-04 7.378239e+02 2.957994e+02 8.167903e+02
-4.879841e-04 6.809604e+02 2.730024e+02 7.538409e+02
-3.939439e-04 6.889465e+02 2.762041e+02 7.626817e+02
-3.175391e-04 6.989044e+02 2.801963e+02 7.737054e+02
-2.656847e-04 7.065159e+02 2.832478e+02 7.821315e+02
-2.230298e-04 7.231509e+02 2.899169e+02 8.005469e+02
-1.878884e-04 7.675663e+02 3.077234e+02 8.497159e+02
-1.571536e-04 7.674472e+02 3.076756e+02 8.495840e+02
-1.312498e-04 7.619519e+02 3.054725e+02 8.435006e+02
-1.135546e-04 7.630336e+02 3.059062e+02 8.446981e+02
-1.014781e-04 7.705680e+02 3.089268e+02 8.530389e+02
-9.178707e-05 7.376650e+02 2.957357e+02 8.166143e+02
-8.527612e-05 7.626369e+02 3.057471e+02 8.442589e+02
-8.146142e-05 7.040613e+02 2.822637e+02 7.794142e+02
-7.801321e-05 7.032874e+02 2.819534e+02 7.785575e+02
-7.467971e-05 7.200130e+02 2.886589e+02 7.970732e+02
-7.273150e-05 7.204997e+02 2.888540e+02 7.976119e+02
-7.324300e-05 7.533488e+02 3.020235e+02 8.339768e+02
-7.816589e-05 7.862879e+02 3.152290e+02 8.704412e+02
-8.669849e-05 7.902496e+02 3.168173e+02 8.748268e+02
-9.811338e-05 7.592942e+02 3.044070e+02 8.405585e+02
-1.126471e-04 7.826959e+02 3.137889e+02 8.664647e+02
-1.286558e-04 7.763500e+02 3.112448e+02 8.594397e+02
-1.470292e-04 7.706645e+02 3.089654e+02 8.531456e+02
-1.673481e-04 7.924413e+02 3.176959e+02 8.772532e+02
-1.881258e-04 7.924027e+02 3.176805e+02 8.772104e+02
-2.141576e-04 7.695127e+02 3.085037e+02 8.518706e+02
-2.501249e-04 8.016910e+02 3.214042e+02 8.874929e+02
-2.937077e-04 7.792171e+02 3.123943e+02 8.626136e+02
-3.395470e-04 7.917073e+02 3.174017e+02 8.764406e+02
-4.060292e-04 7.798249e+02 3.126379e+02 8.632865e+02
-5.132997e-04 7.424894e+02 2.976698e+02 8.219551e+02
-6.587295e-04 7.544153e+02 3.024510e+02 8.351574e+02
-8.140432e-04 7.512875e+02 3.011970e+02 8.316948e+02
-9.297313e-04 7.331616e+02 2.939303e+02 8.116290e+02
-9.628739e-04 7.090398e+02 2.842596e+02 7.849255e+02
-9.659359e-04 7.491521e+02 3.003410e+02 8.293309e+02
-1.023133e-03 7.242762e+02 2.903680e+02 8.017926e+02
-1.085961e-03 7.095709e+02 2.844726e+02 7.855135e+02
-1.111145e-03 7.150898e+02 2.866851e+02 7.916231e+02
-1.144523e-03 7.250142e+02 2.906639e+02 8.026096e+02
-1.156039e-03 7.798705e+02 3.126562e+02 8.633370e+02
-1.162527e-03 7.728500e+02 3.098416e+02 8.555651e+02
-1.163389e-03 8.166299e+02 3.273933e+02 9.040305e+02
-1.197671e-03 8.190976e+02 3.283827e+02 9.067624e+02
-1.251098e-03 7.904971e+02 3.169165e+02 8.751009e+02
-1.219485e-03 7.276830e+02 2.917338e+02 8.055640e+02
-1.166500e-03 7.048021e+02 2.825607e+02 7.802343e+02
-1.161758e-03 7.663853e+02 3.072499e+02 8.484085e+02
-1.158420e-03 7.416836e+02 2.973468e+02 8.210631e+02
-1.148295e-03 7.157704e+02 2.869580e+02 7.923765e+02
-1.168791e-03 6.915851e+02 2.772619e+02 7.656028e+02
-1.166584e-03 6.938318e+02 2.781626e+02 7.680899e+02
-1.153450e-03 7.006553e+02 2.808982e+02 7.756437e+02
-1.133985e-03 6.852473e+02 2.747210e+02 7.585866e+02
-1.102743e-03 7.024912e+02 2.816343e+02 7.776761e+02
-1.098188e-03 7.125856e+02 2.856811e+02 7.888508e+02
-1.096129e-03 6.736951e+02 2.700896e+02 7.457980e+02
-1.059008e-03 6.950443e+02 2.786487e+02 7.694322e+02
-1.025099e-03 7.279808e+02 2.918532e+02 8.058937e+02
-1.027545e-03 7.225159e+02 2.896623e+02 7.998440e+02
-1.034026e-03 7.341838e+02 2.943400e+02 8.127606e+02
-1.021853e-03 6.952509e+02 2.787315e+02 7.696608e+02
-1.034617e-03 6.844869e+02 2.744162e+02 7.577448e+02
-1.044583e-03 6.651512e+02 2.666643e+02 7.363397e+02
-9.934946e-04 7.027778e+02 2.817492e+02 7.779934e+02
-9.246209e-04 7.093432e+02 2.843813e+02 7.852614e+02
-8.719512e-04 6.862879e+02 2.751382e+02 7.597386e+02
-8.599153e-04 6.704622e+02 2.687935e+02 7.422191e+02
