#E_pot  E_kin  T  P
-3.171020e+02 1.244234e+02 4.988233e+01 1.101920e+06
-3.171034e+02 1.245362e+02 4.992756e+01 1.102919e+06
-3.171013e+02 1.238048e+02 4.963432e+01 1.096441e+06
-3.170958e+02 1.241780e+02 4.978395e+01 1.099747e+06
-3.170868e+02 1.242796e+02 4.982469e+01 1.100646e+06
-3.170744e+02 1.240879e+02 4.974783e+01 1.098949e+06
-3.170585e+02 1.240439e+02 4.973018e+01 1.098559e+06
-3.170392e+02 1.239015e+02 4.967308e+01 1.097297e+06
-3.170165e+02 1.240503e+02 4.973272e+01 1.098615e+06
-3.169904e+02 1.245759e+02 4.994345e+01 1.103270e+06
-3.169610e+02 1.248144e+02 5.003907e+01 1.105382e+06
-3.169281e+02 1.251751e+02 5.018368e+01 1.108577e+06
-3.168918e+02 1.249676e+02 5.010047e+01 1.106739e+06
-3.168522e+02 1.246166e+02 4.995978e+01 1.103631e+06
-3.168090e+02 1.252414e+02 5.021024e+01 1.109163e+06
-3.167623e+02 1.248207e+02 5.004161e+01 1.105438e+06
-3.167122e+02 1.242771e+02 4.982367e+01 1.100624e+06
-3.166589e+02 1.238652e+02 4.965852e+01 1.096976e+06
-3.166018e+02 1.246307e+02 4.996541e+01 1.103755e+06
-3.165413e+02 1.247260e+02 5.000362e+01 1.104599e+06
-3.164774e+02 1.252014e+02 5.019422e+01 1.108810e+06
-3.164101e+02 1.253228e+02 5.024289e+01 1.109885e+06
-3.163397e+02 1.250892e+02 5.014923e+01 1.107816e+06
-3.162660e+02 1.245486e+02 4.993251e+01 1.103028e+06
-3.161888e+02 1.248842e+02 5.006706e+01 1.106001e+06
-3.161084e+02 1.245233e+02 4.992239e+01 1.102805e+06
-3.160249e+02 1.240726e+02 4.974169e+01 1.098813e+06
-3.159383e+02 1.246662e+02 4.997964e+01 1.104070e+06
-3.158487e+02 1.244476e+02 4.989202e+01 1.102134e+06
-3.157560e+02 1.247566e+02 5.001590e+01 1.104870e+06
-3.156601e+02 1.253335e+02 5.024719e+01 1.109980e+06
-3.155609e+02 1.253823e+02 5.026676e+01 1.110412e+06
-3.154585e+02 1.255141e+02 5.031960e+01 1.111579e+06
-3.153532e+02 1.253296e+02 5.024560e+01 1.109945e+06
-3.152444e+02 1.257289e+02 5.040572e+01 1.113482e+06
-3.151324e+02 1.251026e+02 5.015459e+01 1.107934e+06
-3.150171e+02 1.258866e+02 5.046891e+01 1.114878e+06
-3.148981e+02 1.263806e+02 5.066697e+01 1.119253e+06
-3.147756e+02 1.262382e+02 5.060987e+01 1.117991e+06
-3.146500e+02 1.256679e+02 5.038124e+01 1.112941e+06
-3.145214e+02 1.261085e+02 5.055787e+01 1.116843e+06
-3.143896e+02 1.257402e+02 5.041023e+01 1.113581e+06
-3.142544e+02 1.260639e+02 5.054000e+01 1.116448e+06
-3.141160e+02 1.250055e+02 5.011568e+01 1.107075e+06
-3.139745e+02 1.253297e+02 5.024568e+01 1.109946e+06
-3.138299e+02 1.250937e+02 5.015106e+01 1.107856e+06
-3.136817e+02 1.251904e+02 5.018982e+01 1.108712e+06
-3.135297e+02 1.249225e+02 5.008242e+01 1.106340e+06
-3.133740e+02 1.250395e+02 5.012934e+01 1.107376e+06
-3.132149e+02 1.249060e+02 5.007580e+01 1.106194e+06
-3.130531e+02 1.243098e+02 4.983679e+01 1.100914e+06
-3.128886e+02 1.238266e+02 4.964305e+01 1.096634e+06
-3.127210e+02 1.236547e+02 4.957412e+01 1.095111e+06
-3.125504e+02 1.229071e+02 4.927443e+01 1.088491e+06
-3.123764e+02 1.237809e+02 4.962473e+01 1.096229e+06
-3.121992e+02 1.233533e+02 4.945329e+01 1.092442e+06
-3.120198e+02 1.222168e+02 4.899767e+01 1.082377e+06
-3.118375e+02 1.217746e+02 4.882039e+01 1.078461e+06
-3.116518e+02 1.217614e+02 4.881509e+01 1.078344e+06
-3.114632e+02 1.215515e+02 4.873096e+01 1.076486e+06
-3.112723e+02 1.209471e+02 4.848865e+01 1.071133e+06
-3.110792e+02 1.200691e+02 4.813664e+01 1.063357e+06
-3.108839e+02 1.200721e+02 4.813786e+01 1.063384e+06
-3.106862e+02 1.195082e+02 4.791178e+01 1.058390e+06
-3.104855e+02 1.190255e+02 4.771824e+01 1.054114e+06
-3.102814e+02 1.188534e+02 4.764928e+01 1.052591e+06
-3.100740e+02 1.192893e+02 4.782401e+01 1.056451e+06
-3.098636e+02 1.188364e+02 4.764246e+01 1.052440e+06
-3.096505e+02 1.188506e+02 4.764816e+01 1.052566e+06
-3.094346e+02 1.186548e+02 4.756964e+01 1.050832e+06
-3.092160e+02 1.185298e+02 4.751955e+01 1.049725e+06
-3.089948e+02 1.185800e+02 4.753967e+01 1.050170e+06
-3.087722e+02 1.178220e+02 4.723576e+01 1.043456e+06
-3.085472e+02 1.180225e+02 4.731614e+01 1.045232e+06
-3.083192e+02 1.177078e+02 4.718998e+01 1.042445e+06
-3.080891e+02 1.166592e+02 4.676960e+01 1.033158e+06
-3.078570e+02 1.160664e+02 4.653192e+01 1.027908e+06
-3.076229e+02 1.160380e+02 4.652056e+01 1.027657e+06
-3.073867e+02 1.157380e+02 4.640027e+01 1.025000e+06
-3.071493e+02 1.144963e+02 4.590247e+01 1.014003e+06
-3.069099e+02 1.144419e+02 4.588065e+01 1.013521e+06
-3.066673e+02 1.139756e+02 4.569371e+01 1.009392e+06
-3.064226e+02 1.142455e+02 4.580190e+01 1.011782e+06
-3.061755e+02 1.138140e+02 4.562892e+01 1.007960e+06
-3.059256e+02 1.131014e+02 4.534324e+01 1.001650e+06
-3.056743e+02 1.124208e+02 4.507038e+01 9.956221e+05
-3.054217e+02 1.128370e+02 4.523726e+01 9.993084e+05
-3.051666e+02 1.131626e+02 4.536778e+01 1.002192e+06
-3.049099e+02 1.130130e+02 4.530779e+01 1.000866e+06
-3.046512e+02 1.125320e+02 4.511498e+01 9.966073e+05
-3.043906e+02 1.121364e+02 4.495635e+01 9.931029e+05
-3.041284e+02 1.124328e+02 4.507519e+01 9.957283e+05
-3.038650e+02 1.126895e+02 4.517811e+01 9.980019e+05
-3.036008e+02 1.126122e+02 4.514711e+01 9.973169e+05
-3.033363e+02 1.121870e+02 4.497663e+01 9.935511e+05
-3.030704e+02 1.117808e+02 4.481381e+01 9.899543e+05
-3.028046e+02 1.106894e+02 4.437624e+01 9.802881e+05
-3.025397e+02 1.102955e+02 4.421831e+01 9.767995e+05
-3.022748e+02 1.098616e+02 4.404436e+01 9.729569e+05
-3.020107e+02 1.094930e+02 4.389661e+01 9.696930e+05
-3.017473e+02 1.090741e+02 4.372868e+01 9.659832e+05
-3.014835e+02 1.085788e+02 4.353008e+01 9.615962e+05
-3.012188e+02 1.084684e+02 4.348582e+01 9.606184e+05
-3.009537e+02 1.080519e+02 4.331887e+01 9.569305e+05
-3.006890e+02 1.073815e+02 4.305010e+01 9.509933e+05
-3.004240e+02 1.070918e+02 4.293395e+01 9.484275e+05
-3.001588e+02 1.066594e+02 4.276058e+01 9.445977e+05
-2.998938e+02 1.065167e+02 4.270338e+01 9.433341e+05
-2.996282e+02 1.070633e+02 4.292253e+01 9.481751e+05
-2.993612e+02 1.065137e+02 4.270216e+01 9.433071e+05
-2.990936e+02 1.061852e+02 4.257049e+01 9.403985e+05
-2.988264e+02 1.060716e+02 4.252492e+01 9.393918e+05
-2.985585e+02 1.055143e+02 4.230150e+01 9.344564e+05
-2.982900e+02 1.049729e+02 4.208447e+01 9.296620e+05
-2.980218e+02 1.053150e+02 4.222163e+01 9.326920e+05
-2.977522e+02 1.050203e+02 4.210345e+01 9.300813e+05
-2.974807e+02 1.048773e+02 4.204612e+01 9.288149e+05
-2.972084e+02 1.054559e+02 4.227811e+01 9.339398e+05
-2.969347e+02 1.054180e+02 4.226289e+01 9.336034e+05
-2.966611e+02 1.043622e+02 4.183962e+01 9.242532e+05
-2.963888e+02 1.035950e+02 4.153206e+01 9.174592e+05
-2.961168e+02 1.034621e+02 4.147879e+01 9.162823e+05
-2.958465e+02 1.028200e+02 4.122136e+01 9.105957e+05
-2.955805e+02 1.020680e+02 4.091986e+01 9.039355e+05
-2.953181e+02 1.018363e+02 4.082698e+01 9.018836e+05
-2.950573e+02 1.017549e+02 4.079433e+01 9.011624e+05
-2.947968e+02 1.017258e+02 4.078267e+01 9.009048e+05
-2.945376e+02 1.018675e+02 4.083947e+01 9.021595e+05
-2.942805e+02 1.015477e+02 4.071126e+01 8.993273e+05
-2.940255e+02 1.014557e+02 4.067439e+01 8.985129e+05
-2.937727e+02 1.008962e+02 4.045007e+01 8.935575e+05
-2.935218e+02 1.008839e+02 4.044516e+01 8.934491e+05
-2.932719e+02 1.009976e+02 4.049073e+01 8.944558e+05
-2.930244e+02 9.993398e+01 4.006432e+01 8.850362e+05
-2.927795e+02 1.000954e+02 4.012903e+01 8.864657e+05
-2.925369e+02 9.928403e+01 3.980375e+01 8.792801e+05
-2.922962e+02 9.875705e+01 3.959247e+01 8.746130e+05
-2.920575e+02 9.789974e+01 3.924878e+01 8.670205e+05
-2.918216e+02 9.821719e+01 3.937604e+01 8.698319e+05
-2.915882e+02 9.775824e+01 3.919205e+01 8.657673e+05
-2.913580e+02 9.736772e+01 3.903548e+01 8.623088e+05
-2.911303e+02 9.771877e+01 3.917622e+01 8.654178e+05
-2.909048e+02 9.759355e+01 3.912602e+01 8.643088e+05
-2.906832e+02 9.761880e+01 3.913614e+01 8.645325e+05
-2.904662e+02 9.777763e+01 3.919982e+01 8.659390e+05
-2.902543e+02 9.730298e+01 3.900953e+01 8.617355e+05
-2.900485e+02 9.736520e+01 3.903447e+01 8.622865e+05
-2.898462e+02 9.696134e+01 3.887256e+01 8.587098e+05
-2.896469e+02 9.669303e+01 3.876499e+01 8.563336e+05
-2.894525e+02 9.655738e+01 3.871061e+01 8.551323e+05
-2.892625e+02 9.615358e+01 3.854872e+01 8.515561e+05
-2.890773e+02 9.714150e+01 3.894479e+01 8.603054e+05
-2.888968e+02 9.636927e+01 3.863520e+01 8.534663e+05
-2.887187e+02 9.616040e+01 3.855146e+01 8.516165e+05
-2.885433e+02 9.582205e+01 3.841581e+01 8.486201e+05
-2.883717e+02 9.522869e+01 3.817793e+01 8.433651e+05
-2.882023e+02 9.476123e+01 3.799052e+01 8.392252e+05
-2.880349e+02 9.573917e+01 3.838259e+01 8.478861e+05
-2.878706e+02 9.607596e+01 3.851761e+01 8.508688e+05
-2.877102e+02 9.524402e+01 3.818407e+01 8.435009e+05
-2.875532e+02 9.539288e+01 3.824375e+01 8.448192e+05
-2.874005e+02 9.540705e+01 3.824944e+01 8.449447e+05
-2.872533e+02 9.534696e+01 3.822535e+01 8.444126e+05
-2.871114e+02 9.520353e+01 3.816784e+01 8.431423e+05
-2.869743e+02 9.605179e+01 3.850792e+01 8.506547e+05
-2.868405e+02 9.669469e+01 3.876566e+01 8.563484e+05
-2.867098e+02 9.685304e+01 3.882914e+01 8.577507e+05
-2.865817e+02 9.679896e+01 3.880746e+01 8.572717e+05
-2.864546e+02 9.639860e+01 3.864695e+01 8.537261e+05
-2.863294e+02 9.741988e+01 3.905639e+01 8.627707e+05
-2.862081e+02 9.729723e+01 3.900722e+01 8.616845e+05
-2.860921e+02 9.705402e+01 3.890972e+01 8.595306e+05
-2.859808e+02 9.650997e+01 3.869161e+01 8.547124e+05
-2.858742e+02 9.546708e+01 3.827350e+01 8.454764e+05
-2.857720e+02 9.562501e+01 3.833682e+01 8.468751e+05
-2.856726e+02 9.642858e+01 3.865897e+01 8.539916e+05
-2.855776e+02 9.623166e+01 3.858003e+01 8.522476e+05
-2.854880e+02 9.654516e+01 3.870571e+01 8.550240e+05
-2.854045e+02 9.592438e+01 3.845684e+01 8.495263e+05
-2.853263e+02 9.572488e+01 3.837686e+01 8.477595e+05
-2.852505e+02 9.634830e+01 3.862679e+01 8.532806e+05
-2.851786e+02 9.633401e+01 3.862106e+01 8.531541e+05
-2.851117e+02 9.627613e+01 3.859785e+01 8.526414e+05
-2.850489e+02 9.683124e+01 3.882040e+01 8.575576e+05
-2.849891e+02 9.721422e+01 3.897394e+01 8.609494e+05
-2.849315e+02 9.651335e+01 3.869296e+01 8.547423e+05
-2.848752e+02 9.689610e+01 3.884641e+01 8.581321e+05
