r_nm,g_r,coordination_number,pair_count
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999999999001e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.574999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.724999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.324999999999999845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.474999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.774999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.074999999999999956e-01,8.958590252306915594e-03,3.689469638739431589e-04,1.200000000000000000e+02
3.225000000000000089e-01,4.283465101345341752e-01,1.977248270561106705e-02,6.311000000000000000e+03
3.374999999999999667e-01,2.887781810571528496e+00,1.630345887778631986e-01,4.659600000000000000e+04
3.524999999999999800e-01,6.795056600295434457e+00,5.307609531129899860e-01,1.196030000000000000e+05
3.674999999999999933e-01,9.065338495761707804e+00,1.063981552651806162e+00,1.734300000000000000e+05
3.825000000000000067e-01,9.191784323392937495e+00,1.649669485011529435e+00,1.904950000000000000e+05
3.974999999999999645e-01,8.127615776360169519e+00,2.208959262106072075e+00,1.819090000000000000e+05
4.124999999999999778e-01,6.776658739242138019e+00,2.711139123750960778e+00,1.633340000000000000e+05
4.274999999999999911e-01,5.681921474977755793e+00,3.163369715603382204e+00,1.470880000000000000e+05
4.425000000000000044e-01,4.815446353610075114e+00,3.574001537279016372e+00,1.335580000000000000e+05
4.574999999999999623e-01,4.154026400166105581e+00,3.952651806302844406e+00,1.231560000000000000e+05
4.724999999999999756e-01,3.659121518374221171e+00,4.308418139892390641e+00,1.157130000000000000e+05
4.874999999999999889e-01,3.316877639154030444e+00,4.651707916986933533e+00,1.116550000000000000e+05
5.024999999999999467e-01,3.036492547799707786e+00,4.985614142966948492e+00,1.086030000000000000e+05
5.175000000000000711e-01,2.847789855406702486e+00,5.317743274404304721e+00,1.080250000000000000e+05
5.324999999999999734e-01,2.692957501693054478e+00,5.650284396617986538e+00,1.081590000000000000e+05
5.474999999999999867e-01,2.626636136624382001e+00,5.993165257494235121e+00,1.115220000000000000e+05
5.625000000000000000e-01,2.604521045508145782e+00,6.352043043812451550e+00,1.167250000000000000e+05
5.774999999999999023e-01,2.651665826999472841e+00,6.737162182936202726e+00,1.252600000000000000e+05
5.925000000000000266e-01,2.646353509904796564e+00,7.141734050730207173e+00,1.315870000000000000e+05
6.074999999999999289e-01,2.719572359463178213e+00,7.578816295157571048e+00,1.421610000000000000e+05
6.225000000000000533e-01,2.821061833157093801e+00,8.054874711760184880e+00,1.548380000000000000e+05
6.374999999999999556e-01,2.970069786675007428e+00,8.580522674865488142e+00,1.709670000000000000e+05
6.524999999999999689e-01,3.094609277202935438e+00,9.154287471176019153e+00,1.866170000000000000e+05
6.674999999999999822e-01,3.171297659265292612e+00,9.769614142966949188e+00,2.001350000000000000e+05
6.824999999999998845e-01,3.258063437248858385e+00,1.043050576479631175e+01,2.149550000000000000e+05
6.975000000000000089e-01,3.300090163946208577e+00,1.112966948501153119e+01,2.274030000000000000e+05
7.124999999999999112e-01,3.297634616945148256e+00,1.185868408916218364e+01,2.371120000000000000e+05
7.275000000000000355e-01,3.285463512720076640e+00,1.261591083781706502e+01,2.462880000000000000e+05
7.424999999999999378e-01,3.223998604834636073e+00,1.338992774788624196e+01,2.517490000000000000e+05
7.575000000000000622e-01,3.118882476661165359e+00,1.416926671790930037e+01,2.534800000000000000e+05
7.724999999999999645e-01,2.999721384844047822e+00,1.494880860876249073e+01,2.535460000000000000e+05
7.874999999999999778e-01,2.864998241401084833e+00,1.572253343581860108e+01,2.516540000000000000e+05
8.024999999999999911e-01,2.759491558190762639e+00,1.649642428900845559e+01,2.517080000000000000e+05
8.174999999999998934e-01,2.663668693438518531e+00,1.727162797847809372e+01,2.521350000000000000e+05
8.325000000000000178e-01,2.540757300013550601e+00,1.803844427363566538e+01,2.494070000000000000e+05
8.474999999999999201e-01,2.458724164438949700e+00,1.880748347425057787e+01,2.501300000000000000e+05
8.625000000000000444e-01,2.391393323102306123e+00,1.958217371252882444e+01,2.519680000000000000e+05
8.774999999999999467e-01,2.337844543640371864e+00,2.036608762490391911e+01,2.549680000000000000e+05
8.924999999999999600e-01,2.283819882504405374e+00,2.115829054573405088e+01,2.576640000000000000e+05
9.074999999999999734e-01,2.265228950385928641e+00,2.197067794004611940e+01,2.642290000000000000e+05
9.224999999999998757e-01,2.236043428608446959e+00,2.279932667179092931e+01,2.695180000000000000e+05
9.375000000000000000e-01,2.206121134132185357e+00,2.364368946963873697e+01,2.746290000000000000e+05
9.524999999999999023e-01,2.199574503507701007e+00,2.451270099923135959e+01,2.826460000000000000e+05
9.675000000000000266e-01,2.192988657549937770e+00,2.540661337432743849e+01,2.907450000000000000e+05
9.824999999999999289e-01,2.195906595962676011e+00,2.632968485780168777e+01,3.002290000000000000e+05
9.974999999999999423e-01,2.174526286200278768e+00,2.727189239046886726e+01,3.064530000000000000e+05
1.012499999999999956e+00,2.164817156913016127e+00,2.823831514219830652e+01,3.143290000000000000e+05
1.027499999999999858e+00,2.147254000269514851e+00,2.922550960799384967e+01,3.210850000000000000e+05
1.042499999999999982e+00,2.117896569997808953e+00,3.022784319754035209e+01,3.260090000000000000e+05
1.057500000000000107e+00,2.080812096356326801e+00,3.124116833205226484e+01,3.295840000000000000e+05
1.072500000000000009e+00,2.022278958496495971e+00,3.225412451960030324e+01,3.294640000000000000e+05
1.087499999999999911e+00,1.983473979110917274e+00,3.327562797847809151e+01,3.322440000000000000e+05
1.102500000000000036e+00,1.950745962036741998e+00,3.430818139892389951e+01,3.358380000000000000e+05
1.117499999999999938e+00,1.909799149483946135e+00,3.534675480399692304e+01,3.377960000000000000e+05
1.132499999999999840e+00,1.856659631326358140e+00,3.638371714066102669e+01,3.372720000000000000e+05
1.147499999999999964e+00,1.799204165244027154e+00,3.741538508839354193e+01,3.355500000000000000e+05
1.162500000000000089e+00,1.757085683776131946e+00,3.844941429669484734e+01,3.363180000000000000e+05
1.177499999999999991e+00,1.709244043558541648e+00,3.948141429669485092e+01,3.356580000000000000e+05
1.192499999999999893e+00,1.667676987435695812e+00,4.051413374327440664e+01,3.358920000000000000e+05
1.207500000000000018e+00,1.647382048404985033e+00,4.156011068408916742e+01,3.402040000000000000e+05
1.222499999999999920e+00,1.600519220738557236e+00,4.260173712528824552e+01,3.387890000000000000e+05
1.237499999999999822e+00,1.589100443879619906e+00,4.366146656418140282e+01,3.446770000000000000e+05
1.252499999999999947e+00,1.570749791334525414e+00,4.473450576479631735e+01,3.490060000000000000e+05
1.267500000000000071e+00,1.549139150857207436e+00,4.581828132205995985e+01,3.524980000000000000e+05
1.282499999999999973e+00,1.515981723224075095e+00,4.690411068408916861e+01,3.531660000000000000e+05
1.297499999999999876e+00,1.491382945235618651e+00,4.799745426594927267e+01,3.556100000000000000e+05
1.312500000000000000e+00,1.465834024621540221e+00,4.909705764796310490e+01,3.576460000000000000e+05
1.327499999999999902e+00,1.434994722487016539e+00,5.019827209838585702e+01,3.581700000000000000e+05
1.342499999999999805e+00,1.418408774433382424e+00,5.131149577248270788e+01,3.620760000000000000e+05
1.357499999999999929e+00,1.393810803199487802e+00,5.242999538816295058e+01,3.637920000000000000e+05
1.372500000000000053e+00,1.367147386328224856e+00,5.355147732513451331e+01,3.647620000000000000e+05
1.387499999999999956e+00,1.344187560228875089e+00,5.467835818601076170e+01,3.665180000000000000e+05
1.402499999999999858e+00,1.335219481344028347e+00,5.582205380476556655e+01,3.719870000000000000e+05
1.417499999999999982e+00,1.308340498137742225e+00,5.696682551883166923e+01,3.723370000000000000e+05
1.432500000000000107e+00,1.267153175050648395e+00,5.809914834742505718e+01,3.682880000000000000e+05
1.447499999999999787e+00,1.242840149738425159e+00,5.923312528823981182e+01,3.688260000000000000e+05
1.462499999999999911e+00,1.224425458567886871e+00,6.037357417371252666e+01,3.709310000000000000e+05
1.477500000000000036e+00,1.191430118852490727e+00,6.150617063797078998e+01,3.683770000000000000e+05
1.492499999999999938e+00,1.179158626709599034e+00,6.264997694081475288e+01,3.720230000000000000e+05
1.507499999999999840e+00,1.156816332270697023e+00,6.379477940046118078e+01,3.723470000000000000e+05
1.522499999999999964e+00,1.130074198746582104e+00,6.493548347425057443e+01,3.710140000000000000e+05
1.537500000000000089e+00,1.113475029566462604e+00,6.608168793235972771e+01,3.728030000000000000e+05
1.552499999999999991e+00,1.088582671439590310e+00,6.722423981552651640e+01,3.716150000000000000e+05
1.567499999999999893e+00,1.064471993690277341e+00,6.836317909300538531e+01,3.704400000000000000e+05
1.582500000000000018e+00,1.046466055423008301e+00,6.950438431975403830e+01,3.711770000000000000e+05
1.597499999999999920e+00,1.030270729636817872e+00,7.064932820906994948e+01,3.723930000000000000e+05
1.612499999999999822e+00,1.021171250267954189e+00,7.180557109915450553e+01,3.760680000000000000e+05
1.627499999999999947e+00,1.004705757281969758e+00,7.296443351268256094e+01,3.769200000000000000e+05
1.642500000000000071e+00,9.864153337759465900e-01,7.412326825518832152e+01,3.769110000000000000e+05
1.657499999999999973e+00,9.806005488589764063e-01,7.529640891621829724e+01,3.815640000000000000e+05
1.672499999999999876e+00,9.651095419821419386e-01,7.647200922367410669e+01,3.823640000000000000e+05
1.687500000000000000e+00,9.454424062018896846e-01,7.764440276710223543e+01,3.813210000000000000e+05
1.702499999999999902e+00,9.402609649080727605e-01,7.883119139123751040e+01,3.860030000000000000e+05
1.717499999999999805e+00,9.196988001865126217e-01,8.001257186779400854e+01,3.842440000000000000e+05
1.732499999999999929e+00,9.095536111583987227e-01,8.120141737125288728e+01,3.866720000000000000e+05
1.747500000000000053e+00,8.995526826259656605e-01,8.239763873943121553e+01,3.890710000000000000e+05
1.762499999999999956e+00,8.891521462168491263e-01,8.360041506533436007e+01,3.912030000000000000e+05
1.777499999999999858e+00,8.696209942990097419e-01,8.479687932359723845e+01,3.891500000000000000e+05
1.792499999999999982e+00,8.604036650136582809e-01,8.600072559569562713e+01,3.915510000000000000e+05
1.807499999999999885e+00,8.477427604142112605e-01,8.720679169869332270e+01,3.922730000000000000e+05
1.822499999999999787e+00,8.402609447796047792e-01,8.842213681783245249e+01,3.952910000000000000e+05
1.837499999999999911e+00,8.298731529037811638e-01,8.964229669485013119e+01,3.968570000000000000e+05
1.852500000000000036e+00,8.276456037557540224e-01,9.087912990007687597e+01,4.022800000000000000e+05
1.867499999999999938e+00,8.146343483848589306e-01,9.211631360491929854e+01,4.023940000000000000e+05
1.882499999999999840e+00,8.085117290738749185e-01,9.336400307455804182e+01,4.058110000000000000e+05
1.897499999999999964e+00,7.984934960823029115e-01,9.461594773251346169e+01,4.071950000000000000e+05
1.912500000000000089e+00,7.930861286171101421e-01,9.587915142198309582e+01,4.108570000000000000e+05
1.927499999999999769e+00,7.821226445521087811e-01,9.714451037663336308e+01,4.115580000000000000e+05
1.942499999999999893e+00,7.732992643821716694e-01,9.841514219830899890e+01,4.132730000000000000e+05
1.957500000000000018e+00,7.650514443960948485e-01,9.969171099154496574e+01,4.152040000000000000e+05
1.972499999999999920e+00,7.637237764667307305e-01,1.009856694850115275e+02,4.208600000000000000e+05
1.987499999999999822e+00,7.596499303292706395e-01,1.022923750960799367e+02,4.250060000000000000e+05
2.002499999999999947e+00,7.498157296015371953e-01,1.036017063797079203e+02,4.258600000000000000e+05
2.017500000000000071e+00,7.436148082312754592e-01,1.049197355880092317e+02,4.286890000000000000e+05
2.032499999999999751e+00,7.418095958667703105e-01,1.062541890853189983e+02,4.340310000000000000e+05
2.047499999999999876e+00,7.413835486564883670e-01,1.076076341275941672e+02,4.402080000000000000e+05
2.062500000000000000e+00,7.381461374921142182e-01,1.089749853958493588e+02,4.447310000000000000e+05
2.077499999999999680e+00,7.324445984862308912e-01,1.103515818601076148e+02,4.477380000000000000e+05
2.092500000000000249e+00,7.343056851075613345e-01,1.117516771714066124e+02,4.553810000000000000e+05
