r_nm,g_r,coordination_number,pair_count
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999999999001e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.574999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.724999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.324999999999999845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.474999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.774999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.074999999999999956e-01,3.135506588307420718e-03,1.291314373558801029e-04,4.200000000000000000e+01
3.225000000000000089e-01,3.642743970673498199e-01,1.663028439661798363e-02,5.367000000000000000e+03
3.374999999999999667e-01,3.635198941559008468e+00,1.969715603382013736e-01,5.865600000000000000e+04
3.524999999999999800e-01,9.850312394833093066e+00,7.300384319754035234e-01,1.733800000000000000e+05
3.674999999999999933e-01,1.372816223164605987e+01,1.537524980784012119e+00,2.626350000000000000e+05
3.825000000000000067e-01,1.344342185764381981e+01,2.394121445042275198e+00,2.786080000000000000e+05
3.974999999999999645e-01,1.138636484465588516e+01,3.177657186779400789e+00,2.548450000000000000e+05
4.124999999999999778e-01,9.063024916176619428e+00,3.849266717909300972e+00,2.184410000000000000e+05
4.274999999999999911e-01,7.249386718166679344e+00,4.426253651037663772e+00,1.876650000000000000e+05
4.425000000000000044e-01,5.862089701061719893e+00,4.926136817832436954e+00,1.625870000000000000e+05
4.574999999999999623e-01,4.878913383877574894e+00,5.370862413528056045e+00,1.446470000000000000e+05
4.724999999999999756e-01,4.209319467595078912e+00,5.780122982321292291e+00,1.331120000000000000e+05
4.874999999999999889e-01,3.689218728484168874e+00,6.161949269792468264e+00,1.241890000000000000e+05
5.024999999999999467e-01,3.328166721244700366e+00,6.527929285165257944e+00,1.190350000000000000e+05
5.175000000000000711e-01,3.133847413573961127e+00,6.893420445810915176e+00,1.188760000000000000e+05
5.324999999999999734e-01,3.001121732117290275e+00,7.264015372790161962e+00,1.205360000000000000e+05
5.474999999999999867e-01,2.959505422674779229e+00,7.650348962336664727e+00,1.256550000000000000e+05
5.625000000000000000e-01,2.944620508139417225e+00,8.056089162182937358e+00,1.319670000000000000e+05
5.774999999999999023e-01,3.048844130098339988e+00,8.498893159108378725e+00,1.440220000000000000e+05
5.925000000000000266e-01,3.228950687653602269e+00,8.992531898539585455e+00,1.605560000000000000e+05
6.074999999999999289e-01,3.456143532685163944e+00,9.547993850883935707e+00,1.806640000000000000e+05
6.225000000000000533e-01,3.700222747772126564e+00,1.017241199077632530e+01,2.030920000000000000e+05
6.374999999999999556e-01,3.935007618542346375e+00,1.086883627978478017e+01,2.265120000000000000e+05
6.524999999999999689e-01,4.098773232153576807e+00,1.162878093774019916e+01,2.471720000000000000e+05
6.674999999999999822e-01,4.272469309577946461e+00,1.245776787086856174e+01,2.696280000000000000e+05
6.824999999999998845e-01,4.385180142531996061e+00,1.334729285165257373e+01,2.893180000000000000e+05
6.975000000000000089e-01,4.456978541758409129e+00,1.429155726364334988e+01,3.071220000000000000e+05
7.124999999999999112e-01,4.465544559196922947e+00,1.527876402767101993e+01,3.210890000000000000e+05
7.275000000000000355e-01,4.384619994538449639e+00,1.628932205995387861e+01,3.286840000000000000e+05
7.424999999999999378e-01,4.207965606903619538e+00,1.729956956187547590e+01,3.285830000000000000e+05
7.575000000000000622e-01,3.972268668604468367e+00,1.829215065334357604e+01,3.228370000000000000e+05
7.724999999999999645e-01,3.734809649234455797e+00,1.926272098385856424e+01,3.156780000000000000e+05
7.874999999999999778e-01,3.469786170772164891e+00,2.019977555726363860e+01,3.047770000000000000e+05
8.024999999999999911e-01,3.239926024137787852e+00,2.110840276710222341e+01,2.955310000000000000e+05
8.174999999999998934e-01,3.056328332115112012e+00,2.199788162951575288e+01,2.893030000000000000e+05
8.325000000000000178e-01,2.877138420216462045e+00,2.286621983089930410e+01,2.824270000000000000e+05
8.474999999999999201e-01,2.736887425164546084e+00,2.372226287471175610e+01,2.784280000000000000e+05
8.625000000000000444e-01,2.660288403549563530e+00,2.458406149116064299e+01,2.803000000000000000e+05
8.774999999999999467e-01,2.621373570727879354e+00,2.546304688700999108e+01,2.858900000000000000e+05
8.924999999999999600e-01,2.598024160226161783e+00,2.636423981552651696e+01,2.931130000000000000e+05
9.074999999999999734e-01,2.613497538922682217e+00,2.730152805534204319e+01,3.048530000000000000e+05
9.224999999999998757e-01,2.621546415250230133e+00,2.827303920061491027e+01,3.159840000000000000e+05
9.375000000000000000e-01,2.653910007047756370e+00,2.928878708685626364e+01,3.303720000000000000e+05
9.524999999999999023e-01,2.669285441864223785e+00,3.034337279016141409e+01,3.430040000000000000e+05
9.675000000000000266e-01,2.671751016487580177e+00,3.143243966179861459e+01,3.542190000000000000e+05
9.824999999999999289e-01,2.696015877229788416e+00,3.256573712528823705e+01,3.686050000000000000e+05
9.974999999999999423e-01,2.681187015295959153e+00,3.372747732513450813e+01,3.778560000000000000e+05
1.012499999999999956e+00,2.637851148703190152e+00,3.490507302075326379e+01,3.830130000000000000e+05
1.027499999999999858e+00,2.579446672849728728e+00,3.609096694850114773e+01,3.857120000000000000e+05
1.042499999999999982e+00,2.546511921103899567e+00,3.729615065334357382e+01,3.919860000000000000e+05
1.057500000000000107e+00,2.453034166495896784e+00,3.849074250576478562e+01,3.885410000000000000e+05
1.072500000000000009e+00,2.380816942991607288e+00,3.968328977709452943e+01,3.878760000000000000e+05
1.087499999999999911e+00,2.306703989738656091e+00,4.087125903151420658e+01,3.863870000000000000e+05
1.102500000000000036e+00,2.226950326167093763e+00,4.205001076095309998e+01,3.833890000000000000e+05
1.117499999999999938e+00,2.141900727015250361e+00,4.321480399692542562e+01,3.788490000000000000e+05
1.132499999999999840e+00,2.057986026748650943e+00,4.436420906994617752e+01,3.738440000000000000e+05
1.147499999999999964e+00,1.981768025825844104e+00,4.550055956956185810e+01,3.695980000000000000e+05
1.162500000000000089e+00,1.918375740298639665e+00,4.662950653343580143e+01,3.671900000000000000e+05
1.177499999999999991e+00,1.846851077471281632e+00,4.774459031514218310e+01,3.626810000000000000e+05
1.192499999999999893e+00,1.800419094827597766e+00,4.885951114527285455e+01,3.626280000000000000e+05
1.207500000000000018e+00,1.749589232611179046e+00,4.997038278247500642e+01,3.613110000000000000e+05
1.222499999999999920e+00,1.723264322832276818e+00,5.109189239046885689e+01,3.647710000000000000e+05
1.237499999999999822e+00,1.707168296586105027e+00,5.223035818601074709e+01,3.702860000000000000e+05
1.252499999999999947e+00,1.682100084989670341e+00,5.337946502690236628e+01,3.737470000000000000e+05
1.267500000000000071e+00,1.666478867190030355e+00,5.454533128362795935e+01,3.791980000000000000e+05
1.282499999999999973e+00,1.652330192375945472e+00,5.572882090699459923e+01,3.849300000000000000e+05
1.297499999999999876e+00,1.636352530646489001e+00,5.692844273635662944e+01,3.901770000000000000e+05
1.312500000000000000e+00,1.594061610822167241e+00,5.812423674096846327e+01,3.889320000000000000e+05
1.327499999999999902e+00,1.564235194212694857e+00,5.932463028439659780e+01,3.904280000000000000e+05
1.342499999999999805e+00,1.535140467946804810e+00,6.052946963873941399e+01,3.918740000000000000e+05
1.357499999999999929e+00,1.493333688320408248e+00,6.172783397386623960e+01,3.897680000000000000e+05
1.372500000000000053e+00,1.465091512908102134e+00,6.292966026133741764e+01,3.908940000000000000e+05
1.387499999999999956e+00,1.416355701521209376e+00,6.411704227517293475e+01,3.861960000000000000e+05
1.402499999999999858e+00,1.376497870200241724e+00,6.529609531129899835e+01,3.834870000000000000e+05
1.417499999999999982e+00,1.317620605286861979e+00,6.644898693312836713e+01,3.749780000000000000e+05
1.432500000000000107e+00,1.289149303754539844e+00,6.760096541122214830e+01,3.746810000000000000e+05
1.447499999999999787e+00,1.254000660591601646e+00,6.874512528823983359e+01,3.721380000000000000e+05
1.462499999999999911e+00,1.213796392847877881e+00,6.987567409684859854e+01,3.677110000000000000e+05
1.477500000000000036e+00,1.181756421836966497e+00,7.099907455803230505e+01,3.653860000000000000e+05
1.492499999999999938e+00,1.147624422703035441e+00,7.211229208301308802e+01,3.620740000000000000e+05
1.507499999999999840e+00,1.122622635119998158e+00,7.322325595695620848e+01,3.613410000000000000e+05
1.522499999999999964e+00,1.102980854565902114e+00,7.433661183704845143e+01,3.621190000000000000e+05
1.537500000000000089e+00,1.071439296039322420e+00,7.543954496541124399e+01,3.587290000000000000e+05
1.552499999999999991e+00,1.041728050851949305e+00,7.653291929285167328e+01,3.556200000000000000e+05
1.567499999999999893e+00,1.018058669961507734e+00,7.762219830899310580e+01,3.542880000000000000e+05
1.582500000000000018e+00,1.001072213783128051e+00,7.871390007686397894e+01,3.550760000000000000e+05
1.597499999999999920e+00,9.856617137727600175e-01,7.980926979246736153e+01,3.562690000000000000e+05
1.612499999999999822e+00,9.649083714653121646e-01,8.090180784012301274e+01,3.553480000000000000e+05
1.627499999999999947e+00,9.555340309087857475e-01,8.200395388162954191e+01,3.584730000000000000e+05
1.642500000000000071e+00,9.345835865320809566e-01,8.310189700230594667e+01,3.571060000000000000e+05
1.657499999999999973e+00,9.160819444332324313e-01,8.419785088393545891e+01,3.564590000000000000e+05
1.672499999999999876e+00,8.904175689764834978e-01,8.528246887009994737e+01,3.527720000000000000e+05
1.687500000000000000e+00,8.673516269745858986e-01,8.635802613374329439e+01,3.498250000000000000e+05
1.702499999999999902e+00,8.487494379777990039e-01,8.742930976172176827e+01,3.484350000000000000e+05
1.717499999999999805e+00,8.305805695118777532e-01,8.849621521906227883e+01,3.470110000000000000e+05
1.732499999999999929e+00,8.160747440373380401e-01,8.956287778631823926e+01,3.469320000000000000e+05
1.747500000000000053e+00,7.876238960584609483e-01,9.061025672559571831e+01,3.406600000000000000e+05
1.762499999999999956e+00,7.748746975274551918e-01,9.165844734819371808e+01,3.409240000000000000e+05
1.777499999999999858e+00,7.592797998097325918e-01,9.270309915449655591e+01,3.397730000000000000e+05
1.792499999999999982e+00,7.481943927853726972e-01,9.374994619523444328e+01,3.404870000000000000e+05
1.807499999999999885e+00,7.406276392615182003e-01,9.480362182936204363e+01,3.427080000000000000e+05
1.822499999999999787e+00,7.265436080254805695e-01,9.585448731744813244e+01,3.417940000000000000e+05
1.837499999999999911e+00,7.130551710770354212e-01,9.690289008455036424e+01,3.409930000000000000e+05
1.852500000000000036e+00,7.045994651860504332e-01,9.795584319754037494e+01,3.424730000000000000e+05
1.867499999999999938e+00,6.931094979525803668e-01,9.900846733282092771e+01,3.423660000000000000e+05
1.882499999999999840e+00,6.871984103533171906e-01,1.000689469638739695e+02,3.449210000000000000e+05
1.897499999999999964e+00,6.736842141776864246e-01,1.011252052267486761e+02,3.435480000000000000e+05
1.912500000000000089e+00,6.666655084612120863e-01,1.021870499615680501e+02,3.453650000000000000e+05
1.927499999999999769e+00,6.586977095594084286e-01,1.032527255956956509e+02,3.466110000000000000e+05
1.942499999999999893e+00,6.476584593786864907e-01,1.043169131437356185e+02,3.461270000000000000e+05
1.957500000000000018e+00,6.370171174982155460e-01,1.053798431975403815e+02,3.457180000000000000e+05
1.972499999999999920e+00,6.279262633641909952e-01,1.064437232897771253e+02,3.460270000000000000e+05
1.987499999999999822e+00,6.170897810769487846e-01,1.075052052267486857e+02,3.452470000000000000e+05
2.002499999999999947e+00,6.194017407886497351e-01,1.085868070714835056e+02,3.517910000000000000e+05
2.017500000000000071e+00,6.172751052234615177e-01,1.096809039200615246e+02,3.558550000000000000e+05
2.032499999999999751e+00,6.159365750079009993e-01,1.107889223674097252e+02,3.603830000000000000e+05
2.047499999999999876e+00,6.105389722774329231e-01,1.119035019215988171e+02,3.625170000000000000e+05
2.062500000000000000e+00,6.048376398360217898e-01,1.130239108378171125e+02,3.644130000000000000e+05
2.077499999999999680e+00,6.080230142747818922e-01,1.141666625672560116e+02,3.716800000000000000e+05
2.092500000000000249e+00,6.053066260714580205e-01,1.153207963105304117e+02,3.753820000000000000e+05
