r_nm,g_r,coordination_number,pair_count
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999999999001e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.574999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.724999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.324999999999999845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.474999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.774999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.074999999999999956e-01,2.344164449353643154e-02,9.654112221368180580e-04,3.140000000000000000e+02
3.225000000000000089e-01,4.184370519694823320e-01,1.992006149116064273e-02,6.165000000000000000e+03
3.374999999999999667e-01,1.840530178778291059e+00,1.112282859338969976e-01,2.969800000000000000e+04
3.524999999999999800e-01,3.485447082192960178e+00,2.998493466564181587e-01,6.134900000000000000e+04
3.674999999999999933e-01,4.435184059075021779e+00,5.607255956956187504e-01,8.485000000000000000e+04
3.825000000000000067e-01,4.518085645927177652e+00,8.486118370484243556e-01,9.363500000000000000e+04
3.974999999999999645e-01,4.238974139719151601e+00,1.140310530361260621e+00,9.487500000000000000e+04
4.124999999999999778e-01,3.773477122546882168e+00,1.419941583397386742e+00,9.095000000000000000e+04
4.274999999999999911e-01,3.359714976362724315e+00,1.687345119139123772e+00,8.697300000000000000e+04
4.425000000000000044e-01,3.026897320102674538e+00,1.945460415065334292e+00,8.395200000000000000e+04
4.574999999999999623e-01,2.731000158678822398e+00,2.194398155265180783e+00,8.096700000000000000e+04
4.724999999999999756e-01,2.478246639487246217e+00,2.435351268255188550e+00,7.837000000000000000e+04
4.874999999999999889e-01,2.300470237571878851e+00,2.673445042275173211e+00,7.744000000000000000e+04
5.024999999999999467e-01,2.175617566935891922e+00,2.912685626441199105e+00,7.781300000000000000e+04
5.175000000000000711e-01,2.048088811539428011e+00,3.151548039969254589e+00,7.769000000000000000e+04
5.324999999999999734e-01,1.991452517270104750e+00,3.397463489623366861e+00,7.998400000000000000e+04
5.474999999999999867e-01,1.929996517095715181e+00,3.649405073020753676e+00,8.194400000000000000e+04
5.625000000000000000e-01,1.886434120800130065e+00,3.909337432744043550e+00,8.454300000000000000e+04
5.774999999999999023e-01,1.862284005005353738e+00,4.179809377401999093e+00,8.797100000000000000e+04
5.925000000000000266e-01,1.871937081185363949e+00,4.465989239046887604e+00,9.308000000000000000e+04
6.074999999999999289e-01,1.874150188250565563e+00,4.767197540353574681e+00,9.796800000000000000e+04
6.225000000000000533e-01,1.888517955889803535e+00,5.085887778631821732e+00,1.036540000000000000e+05
6.374999999999999556e-01,1.886340976424216498e+00,5.419735588009223726e+00,1.085840000000000000e+05
6.524999999999999689e-01,1.900324940062399603e+00,5.772070714834742766e+00,1.145970000000000000e+05
6.674999999999999822e-01,1.961883401160692042e+00,6.152734819369715780e+00,1.238110000000000000e+05
6.824999999999998845e-01,1.967281923073565864e+00,6.551794004611837252e+00,1.297940000000000000e+05
6.975000000000000089e-01,1.976283860399917991e+00,6.970493466564181340e+00,1.361820000000000000e+05
7.124999999999999112e-01,1.993904051236584429e+00,7.411289777094542508e+00,1.433690000000000000e+05
7.275000000000000355e-01,2.002176042521940147e+00,7.872747117601845090e+00,1.500890000000000000e+05
7.424999999999999378e-01,2.021067761219261349e+00,8.357964642582629722e+00,1.578170000000000000e+05
7.575000000000000622e-01,1.981550999433383531e+00,8.853109915449655531e+00,1.610460000000000000e+05
7.724999999999999645e-01,1.950920373100004879e+00,9.360098385857034131e+00,1.648980000000000000e+05
7.874999999999999778e-01,1.924305565383660710e+00,9.879778631821675816e+00,1.690260000000000000e+05
8.024999999999999911e-01,1.886634124656540124e+00,1.040887932359723322e+01,1.720900000000000000e+05
8.174999999999998934e-01,1.853269401497023905e+00,1.094823366641045403e+01,1.754250000000000000e+05
8.325000000000000178e-01,1.814593792736024724e+00,1.149588931591083885e+01,1.781250000000000000e+05
8.474999999999999201e-01,1.796560346068098557e+00,1.205781706379707963e+01,1.827670000000000000e+05
8.625000000000000444e-01,1.765385607049057448e+00,1.262971252882398154e+01,1.860090000000000000e+05
8.774999999999999467e-01,1.732294320274704535e+00,1.321057647963105275e+01,1.889260000000000000e+05
8.924999999999999600e-01,1.719166901820479154e+00,1.380691468101460373e+01,1.939590000000000000e+05
9.074999999999999734e-01,1.694045832528263906e+00,1.441445657186779350e+01,1.976030000000000000e+05
9.224999999999998757e-01,1.673776213640794763e+00,1.503473635664873065e+01,2.017460000000000000e+05
9.375000000000000000e-01,1.657251813664515350e+00,1.566902690238278062e+01,2.063030000000000000e+05
9.524999999999999023e-01,1.641163388283361613e+00,1.631742044581091378e+01,2.108900000000000000e+05
9.675000000000000266e-01,1.645007371682045028e+00,1.698796310530360998e+01,2.180940000000000000e+05
9.824999999999999289e-01,1.621120297003138866e+00,1.766941737125288014e+01,2.216430000000000000e+05
9.974999999999999423e-01,1.615853412737116246e+00,1.836955572636433232e+01,2.277200000000000000e+05
1.012499999999999956e+00,1.602381641515768340e+00,1.908489469638739067e+01,2.326640000000000000e+05
1.027499999999999858e+00,1.578188388674659492e+00,1.981046272098385330e+01,2.359910000000000000e+05
1.042499999999999982e+00,1.563497227074629015e+00,2.055041660261336744e+01,2.406700000000000000e+05
1.057500000000000107e+00,1.553228649247194060e+00,2.130681629515756370e+01,2.460190000000000000e+05
1.072500000000000009e+00,1.537265674910071933e+00,2.207683013066871069e+01,2.504470000000000000e+05
1.087499999999999911e+00,1.527687605592716213e+00,2.286360030745579763e+01,2.558970000000000000e+05
1.102500000000000036e+00,1.518784200077629709e+00,2.366751114527286148e+01,2.614720000000000000e+05
1.117499999999999938e+00,1.489406559405384467e+00,2.447746963873942505e+01,2.634390000000000000e+05
1.132499999999999840e+00,1.484900522290530489e+00,2.530680092236740464e+01,2.697400000000000000e+05
1.147499999999999964e+00,1.468344701627926296e+00,2.614875326671790390e+01,2.738450000000000000e+05
1.162500000000000089e+00,1.448157129350361005e+00,2.700098078401229174e+01,2.771870000000000000e+05
1.177499999999999991e+00,1.425877333121423618e+00,2.786189085318984837e+01,2.800110000000000000e+05
1.192499999999999893e+00,1.410836698780306486e+00,2.873556033820137756e+01,2.841610000000000000e+05
1.207500000000000018e+00,1.390036106080723810e+00,2.961813989239046307e+01,2.870590000000000000e+05
1.222499999999999920e+00,1.362049231381048831e+00,3.050456879323596482e+01,2.883110000000000000e+05
1.237499999999999822e+00,1.367685760517171056e+00,3.141664258262873943e+01,2.966520000000000000e+05
1.252499999999999947e+00,1.357487042664340615e+00,3.234399385088392620e+01,3.016210000000000000e+05
1.267500000000000071e+00,1.342348775863774657e+00,3.328309915449653289e+01,3.054440000000000000e+05
1.282499999999999973e+00,1.328453213847492487e+00,3.423461029976940040e+01,3.094790000000000000e+05
1.297499999999999876e+00,1.315819061055045980e+00,3.519924673328208087e+01,3.137480000000000000e+05
1.312500000000000000e+00,1.297661860810757961e+00,3.617269485011528474e+01,3.166140000000000000e+05
1.327499999999999902e+00,1.292192374737052285e+00,3.716432282859337732e+01,3.225270000000000000e+05
1.342499999999999805e+00,1.267187993407637991e+00,3.815886241352804120e+01,3.234740000000000000e+05
1.357499999999999929e+00,1.260211981049561114e+00,3.917015219062258069e+01,3.289220000000000000e+05
1.372500000000000053e+00,1.253244049164499607e+00,4.019819830899306368e+01,3.343720000000000000e+05
1.387499999999999956e+00,1.237963449831925633e+00,4.123602767102227062e+01,3.375540000000000000e+05
1.402499999999999858e+00,1.225444092962325593e+00,4.228569408147576780e+01,3.414040000000000000e+05
1.417499999999999982e+00,1.217528272025720559e+00,4.335100691775555504e+01,3.464930000000000000e+05
1.432500000000000107e+00,1.210919055304613190e+00,4.443307916986931616e+01,3.519440000000000000e+05
1.447499999999999787e+00,1.200833226943830434e+00,4.552872867025363490e+01,3.563600000000000000e+05
1.462499999999999911e+00,1.180291729165241499e+00,4.662807071483472754e+01,3.575610000000000000e+05
1.477500000000000036e+00,1.172273546661601218e+00,4.774245657186777692e+01,3.624540000000000000e+05
1.492499999999999938e+00,1.156597518646605760e+00,4.886437817063795563e+01,3.649050000000000000e+05
1.507499999999999840e+00,1.143578158223892860e+00,4.999607993850882792e+01,3.680860000000000000e+05
1.522499999999999964e+00,1.138413892548347350e+00,5.114520215219061328e+01,3.737520000000000000e+05
1.537500000000000089e+00,1.123898840139840427e+00,5.230213681783242663e+01,3.762930000000000000e+05
1.552499999999999991e+00,1.113057216923162951e+00,5.347037663335894564e+01,3.799700000000000000e+05
1.567499999999999893e+00,1.108425572179334795e+00,5.465634435049960871e+01,3.857360000000000000e+05
1.582500000000000018e+00,1.096325697022988654e+00,5.585192313604918724e+01,3.888620000000000000e+05
1.597499999999999920e+00,1.084435658474979691e+00,5.705706072252112904e+01,3.919710000000000000e+05
1.612499999999999822e+00,1.071384240365370166e+00,5.827015833973865711e+01,3.945600000000000000e+05
1.627499999999999947e+00,1.061261106035688018e+00,5.949425365103765984e+01,3.981370000000000000e+05
1.642500000000000071e+00,1.056964609739232897e+00,6.073596925441967187e+01,4.038680000000000000e+05
1.657499999999999973e+00,1.045825889640708439e+00,6.198714219830898742e+01,4.069440000000000000e+05
1.672499999999999876e+00,1.041583501096951192e+00,6.325589546502689586e+01,4.126620000000000000e+05
1.687500000000000000e+00,1.037420233132144043e+00,6.454234588777862314e+01,4.184180000000000000e+05
1.702499999999999902e+00,1.034676073080384784e+00,6.584830438124518537e+01,4.247630000000000000e+05
1.717499999999999805e+00,1.031986382590271312e+00,6.717392159877016411e+01,4.311570000000000000e+05
1.732499999999999929e+00,1.024595658322206226e+00,6.851313451191390413e+01,4.355790000000000000e+05
1.747500000000000053e+00,1.009617954662198391e+00,6.985572021521905128e+01,4.366760000000000000e+05
1.762499999999999956e+00,1.002154516867404643e+00,7.121135741737124647e+01,4.409210000000000000e+05
1.777499999999999858e+00,9.959378292565990165e-01,7.258161414296694147e+01,4.456760000000000000e+05
1.792499999999999982e+00,9.914558502404858809e-01,7.396882398155264582e+01,4.511900000000000000e+05
1.807499999999999885e+00,9.828636286670304756e-01,7.536712375096080052e+01,4.547970000000000000e+05
1.822499999999999787e+00,9.769483460413661557e-01,7.678017217524980254e+01,4.595940000000000000e+05
1.837499999999999911e+00,9.652309497612431288e-01,7.819934819369714774e+01,4.615870000000000000e+05
1.852500000000000036e+00,9.600343362566868821e-01,7.963402305918523894e+01,4.666280000000000000e+05
1.867499999999999938e+00,9.579890525888983266e-01,8.108891929285164224e+01,4.732050000000000000e+05
1.882499999999999840e+00,9.533764477056776432e-01,8.256016295157570539e+01,4.785220000000000000e+05
1.897499999999999964e+00,9.552840902024581915e-01,8.405793697156033772e+01,4.871510000000000000e+05
1.912500000000000089e+00,9.423077071386324333e-01,8.555881629515756970e+01,4.881610000000000000e+05
1.927499999999999769e+00,9.346046146047565228e-01,8.707086856264412233e+01,4.917950000000000000e+05
1.942499999999999893e+00,9.271702368578453868e-01,8.859433051498847078e+01,4.955060000000000000e+05
1.957500000000000018e+00,9.236488398294361302e-01,9.013553574173712946e+01,5.012770000000000000e+05
1.972499999999999920e+00,9.187640946009988374e-01,9.169217524980784617e+01,5.062970000000000000e+05
1.987499999999999822e+00,9.206719933672120604e-01,9.327586164488855047e+01,5.150940000000000000e+05
2.002499999999999947e+00,9.113643437526672830e-01,9.486728977709454114e+01,5.176120000000000000e+05
2.017500000000000071e+00,9.049835356307167622e-01,9.647133897002305503e+01,5.217170000000000000e+05
2.032499999999999751e+00,8.989850876281785252e-01,9.808853804765564632e+01,5.259940000000000000e+05
2.047499999999999876e+00,8.991949983797077328e-01,9.973007840122981804e+01,5.339110000000000000e+05
2.062500000000000000e+00,8.919642731563285354e-01,1.013823643351268231e+02,5.374060000000000000e+05
2.077499999999999680e+00,8.918167092258242334e-01,1.030584934665641725e+02,5.451610000000000000e+05
2.092500000000000249e+00,8.870182925903320470e-01,1.047497647963105152e+02,5.500860000000000000e+05
