#E_pot  E_kin  T  P
-2.319283e+02 1.084964e+02 4.349705e+01 9.608665e+05
-2.317898e+02 1.083117e+02 4.342299e+01 9.592306e+05
-2.316508e+02 1.080722e+02 4.332698e+01 9.571096e+05
-2.315114e+02 1.082628e+02 4.340341e+01 9.587980e+05
-2.313715e+02 1.086573e+02 4.356157e+01 9.622919e+05
-2.312303e+02 1.087507e+02 4.359900e+01 9.631188e+05
-2.310873e+02 1.089337e+02 4.367237e+01 9.647394e+05
-2.309438e+02 1.080307e+02 4.331034e+01 9.567420e+05
-2.307995e+02 1.086890e+02 4.357428e+01 9.625726e+05
-2.306547e+02 1.087514e+02 4.359928e+01 9.631249e+05
-2.305097e+02 1.083431e+02 4.343559e+01 9.595088e+05
-2.303645e+02 1.075712e+02 4.312616e+01 9.526734e+05
-2.302199e+02 1.078823e+02 4.325086e+01 9.554281e+05
-2.300756e+02 1.079053e+02 4.326009e+01 9.556321e+05
-2.299307e+02 1.072627e+02 4.300246e+01 9.499409e+05
-2.297856e+02 1.074038e+02 4.305903e+01 9.511905e+05
-2.296400e+02 1.072399e+02 4.299333e+01 9.497392e+05
-2.294945e+02 1.072629e+02 4.300253e+01 9.499423e+05
-2.293498e+02 1.072395e+02 4.299315e+01 9.497351e+05
-2.292057e+02 1.076051e+02 4.313971e+01 9.529729e+05
-2.290611e+02 1.078210e+02 4.322627e+01 9.548850e+05
-2.289161e+02 1.073785e+02 4.304887e+01 9.509662e+05
-2.287717e+02 1.072516e+02 4.299801e+01 9.498426e+05
-2.286270e+02 1.076260e+02 4.314812e+01 9.531585e+05
-2.284815e+02 1.080712e+02 4.332659e+01 9.571011e+05
-2.283364e+02 1.075087e+02 4.310106e+01 9.521190e+05
-2.281919e+02 1.080895e+02 4.333392e+01 9.572628e+05
-2.280473e+02 1.082639e+02 4.340386e+01 9.588078e+05
-2.279024e+02 1.086380e+02 4.355384e+01 9.621211e+05
-2.277560e+02 1.086506e+02 4.355890e+01 9.622327e+05
-2.276077e+02 1.090519e+02 4.371976e+01 9.657864e+05
-2.274588e+02 1.091265e+02 4.374968e+01 9.664472e+05
-2.273103e+02 1.089486e+02 4.367833e+01 9.648711e+05
-2.271623e+02 1.085585e+02 4.352194e+01 9.614163e+05
-2.270146e+02 1.094400e+02 4.387537e+01 9.692237e+05
-2.268656e+02 1.093739e+02 4.384886e+01 9.686383e+05
-2.267161e+02 1.094166e+02 4.386598e+01 9.690163e+05
-2.265672e+02 1.091744e+02 4.376889e+01 9.668716e+05
-2.264194e+02 1.084553e+02 4.348059e+01 9.605030e+05
-2.262735e+02 1.081292e+02 4.334985e+01 9.576149e+05
-2.261289e+02 1.084514e+02 4.347901e+01 9.604681e+05
-2.259848e+02 1.085028e+02 4.349963e+01 9.609235e+05
-2.258407e+02 1.074784e+02 4.308895e+01 9.518515e+05
-2.256961e+02 1.078867e+02 4.325264e+01 9.554674e+05
-2.255512e+02 1.071524e+02 4.295825e+01 9.489641e+05
-2.254069e+02 1.072490e+02 4.299697e+01 9.498195e+05
-2.252628e+02 1.070417e+02 4.291385e+01 9.479834e+05
-2.251189e+02 1.073895e+02 4.305328e+01 9.510635e+05
-2.249752e+02 1.067998e+02 4.281689e+01 9.458416e+05
-2.248318e+02 1.068010e+02 4.281735e+01 9.458518e+05
-2.246888e+02 1.066423e+02 4.275375e+01 9.444468e+05
-2.245471e+02 1.071524e+02 4.295822e+01 9.489636e+05
-2.244072e+02 1.067192e+02 4.278456e+01 9.451274e+05
-2.242685e+02 1.071627e+02 4.296236e+01 9.490551e+05
-2.241300e+02 1.075892e+02 4.313334e+01 9.528321e+05
-2.239919e+02 1.075557e+02 4.311992e+01 9.525355e+05
-2.238555e+02 1.074779e+02 4.308874e+01 9.518469e+05
-2.237200e+02 1.066338e+02 4.275034e+01 9.443715e+05
-2.235854e+02 1.069851e+02 4.289117e+01 9.474825e+05
-2.234515e+02 1.071391e+02 4.295291e+01 9.488462e+05
-2.233178e+02 1.073069e+02 4.302016e+01 9.503320e+05
-2.231842e+02 1.074698e+02 4.308547e+01 9.517745e+05
-2.230526e+02 1.076466e+02 4.315637e+01 9.533408e+05
-2.229252e+02 1.078271e+02 4.322872e+01 9.549391e+05
-2.228002e+02 1.085784e+02 4.352993e+01 9.615930e+05
-2.226763e+02 1.078838e+02 4.325145e+01 9.554411e+05
